#chr	start	end	gene_id	strand	gene_name
chr1	16197853	16212651	ENSG00000142632	-	ARHGEF19
chr1	16440720	16460077	ENSG00000157191	+	NECAP2
chr1	16562318	16613561	ENSG00000219481	-	NBPF1
chr1	16740272	16972963	ENSG00000058453	+	CROCC
chr1	16974501	16980631	ENSG00000117122	-	MFAP2
chr1	16985957	17011927	ENSG00000159363	-	ATP13A2
chr1	17066760	17119450	ENSG00000117115	-	PADI2
chr1	17205127	17246006	ENSG00000142623	+	PADI1
chr1	17308194	17364003	ENSG00000159339	+	PADI4
chr1	17539697	17697868	ENSG00000074964	+	ARHGEF10L
chr1	18107797	18378482	ENSG00000117154	+	IGSF21
chr1	18871429	18902723	ENSG00000159423	-	ALDH4A1
chr1	19074509	19210265	ENSG00000127481	-	UBR4
chr1	19215659	19251524	ENSG00000127463	-	EMC1
chr1	19282572	19288769	ENSG00000162482	-	AKR7A3
chr1	19312325	19329299	ENSG00000040487	+	SLC66A1
chr1	19597066	19656926	ENSG00000270136	+	MICOS10-NBL1
chr1	19664874	19680965	ENSG00000158748	+	HTR6
chr1	19882394	19912944	ENSG00000169914	+	OTUD3
chr1	20499447	20508150	ENSG00000090432	-	MUL1
chr1	20633457	20651510	ENSG00000158828	+	PINK1
chr1	20664013	20718016	ENSG00000117245	-	KIF17
chr1	20806291	21176887	ENSG00000075151	-	EIF4G3
chr1	21217246	21345571	ENSG00000117298	-	ECE1
chr1	21440127	21485004	ENSG00000142794	+	NBPF3
chr1	21509396	21578409	ENSG00000162551	+	ALPL
chr1	21822243	21937309	ENSG00000142798	-	HSPG2
chr1	22025510	22101359	ENSG00000070831	+	CDC42
chr1	22710838	22921499	ENSG00000133216	+	EPHB2
chr1	23191894	23194728	ENSG00000179546	-	HTR1D
chr1	23380908	23424747	ENSG00000204219	-	TCEA3
chr1	23428562	23484567	ENSG00000088280	-	ASAP3
chr1	23791144	23795538	ENSG00000011009	+	LYPLA2
chr1	23801884	23838619	ENSG00000117305	-	HMGCL
chr1	23845076	23868289	ENSG00000179163	-	FUCA1
chr1	23964346	23980926	ENSG00000188529	-	SRSF10
chr1	24319356	24364481	ENSG00000158055	+	GRHL3
chr1	24356998	24416933	ENSG00000001460	-	STPG1
chr1	24415801	24472975	ENSG00000001461	+	NIPAL3
chr1	24556086	24609327	ENSG00000184454	+	NCMAP
chr1	24899510	24965120	ENSG00000020633	-	RUNX3
chr1	25338316	25362360	ENSG00000183726	+	TMEM50A
chr1	25543605	25568885	ENSG00000157978	+	LDLRAP1
chr1	25616790	25786205	ENSG00000117643	+	MAN1C1
chr1	25800175	25818220	ENSG00000162430	+	SELENON
chr1	25831912	25859457	ENSG00000127423	-	AUNIP
chr1	25861483	25875707	ENSG00000182749	-	PAQR7
chr1	25884180	25906990	ENSG00000117632	-	STMN1
chr1	26529760	26575029	ENSG00000117676	+	RPS6KA1
chr1	26693235	26782103	ENSG00000117713	+	ARID1A
chr1	26900237	26946870	ENSG00000090273	+	NUDC
chr1	27234631	27308635	ENSG00000142784	+	WDTC1
chr1	27354066	27366960	ENSG00000142733	-	MAP3K6
chr1	27404229	27490166	ENSG00000158195	-	WASF2
chr1	27872542	27886684	ENSG00000130775	+	THEMIS2
chr1	27959587	27968092	ENSG00000158156	+	XKR8
chr1	28236108	28246905	ENSG00000130770	+	ATP5IF1
chr1	28369581	28500363	ENSG00000204138	+	PHACTR4
chr1	28887090	29120045	ENSG00000159023	+	EPB41
chr1	29236515	29326812	ENSG00000060656	+	PTPRU
chr1	30732468	30757773	ENSG00000162511	-	LAPTM5
chr1	30869465	30908757	ENSG00000162512	-	SDC3
chr1	30931505	31065990	ENSG00000134644	-	PUM1
chr1	31179744	31239886	ENSG00000084628	-	NKAIN1
chr1	31365252	31376849	ENSG00000121769	-	FABP3
chr1	31576484	31587685	ENSG00000142910	+	TINAGL1
chr1	31652262	31704318	ENSG00000084636	-	COL16A1
chr1	31727116	31764892	ENSG00000121753	-	ADGRB2
chr1	32108055	32176562	ENSG00000025800	+	KPNA6
chr1	32205670	32208681	ENSG00000160051	+	IQCC
chr1	32292082	32333625	ENSG00000116478	+	HDAC1
chr1	32741829	32774969	ENSG00000162522	+	KIAA1522
chr1	32816766	32858874	ENSG00000116497	+	S100PBP
chr1	32885993	32898440	ENSG00000121905	+	HPCA
chr1	32936444	32964808	ENSG00000116514	-	RNF19B
chr1	33007939	33080995	ENSG00000004455	-	AK2
chr1	33081103	33123491	ENSG00000142920	+	AZIN2
chr1	33513998	34165841	ENSG00000121904	-	CSMD2
chr1	34712736	34859754	ENSG00000163866	-	SMIM12
chr1	35032171	35115858	ENSG00000197056	+	ZMYM1
chr1	35720217	35769977	ENSG00000092853	-	CLSPN
chr1	36155578	36180848	ENSG00000116871	+	MAP7D1
chr1	36322030	36324153	ENSG00000142694	-	EVA1B
chr1	36339623	36385923	ENSG00000196182	-	STK40
chr1	36415826	36450450	ENSG00000116885	-	OSCP1
chr1	36795526	37034514	ENSG00000163873	-	GRIK3
chr1	37489992	37514765	ENSG00000163875	-	MEAF6
chr1	37556918	37566856	ENSG00000163879	+	DNALI1
chr1	37566815	37595936	ENSG00000134697	-	GNL2
chr1	37713879	37765132	ENSG00000183317	-	EPHA10
chr1	37793846	37801136	ENSG00000185090	+	MANEAL
chr1	37806978	37809453	ENSG00000197982	+	C1orf122
chr1	37860696	37947056	ENSG00000204084	-	INPP5B
chr1	38862492	38873367	ENSG00000214114	-	MYCBP
chr1	38874068	38881586	ENSG00000131233	-	GJA9
chr1	38991275	39006058	ENSG00000174574	+	AKIRIN1
chr1	39026317	39034635	ENSG00000168653	+	NDUFS5
chr1	39081315	39487176	ENSG00000127603	+	MACF1
chr1	39491635	39529868	ENSG00000183682	+	BMP8A
chr1	39560708	39576789	ENSG00000090621	-	PABPC4
chr1	39659120	39672037	ENSG00000116981	-	NT5C1A
chr1	39678647	39691484	ENSG00000116983	-	HPCAL4
chr1	40072709	40097259	ENSG00000131238	-	PPT1
chr1	40477289	40496342	ENSG00000187815	+	ZFP69
chr1	40620679	40665681	ENSG00000117016	-	RIMS3
chr1	40783786	40840451	ENSG00000117013	+	KCNQ4
chr1	40979695	41012564	ENSG00000171793	+	CTPS1
chr1	41506364	42035924	ENSG00000127124	-	HIVEP3
chr1	42746334	42767083	ENSG00000117385	-	P3H1
chr1	42767248	42779490	ENSG00000164008	+	C1orf50
chr1	42817121	42844990	ENSG00000164010	+	ERMAP
chr1	42846572	42852476	ENSG00000164011	+	ZNF691
chr1	43389881	43454246	ENSG00000198198	+	SZT2
chr1	43650148	43931013	ENSG00000284989	+	AL451062.2
chr1	43933319	43937239	ENSG00000117407	+	ARTN
chr1	43978942	43991169	ENSG00000117411	+	B4GALT2
chr1	43991499	44031466	ENSG00000196517	-	SLC6A9
chr1	44405193	44651723	ENSG00000187147	+	RNF220
chr1	44739817	44767766	ENSG00000142945	+	KIF2C
chr1	44819843	44843252	ENSG00000117425	-	PTCH2
chr1	45329261	45491154	ENSG00000288208	-	AL451136.1
chr1	46261195	46303615	ENSG00000132128	-	LRRC41
chr1	46303697	46316775	ENSG00000173660	+	UQCRH
chr1	46394316	46413847	ENSG00000117480	+	FAAH
chr1	46545640	46551646	ENSG00000162456	-	KNCN
chr1	46607714	46616883	ENSG00000142961	-	MOB3C
chr1	47183581	47191043	ENSG00000162366	-	PDZK1IP1
chr1	47250138	47314146	ENSG00000123473	-	STIL
chr1	47416284	47418051	ENSG00000186790	+	FOXE3
chr1	48295372	48472207	ENSG00000132122	-	SPATA6
chr1	48532853	50023953	ENSG00000186094	-	AGBL4
chr1	50024028	50203771	ENSG00000162374	+	ELAVL4
chr1	50437027	50960266	ENSG00000185104	-	FAF1
chr1	51354262	51519265	ENSG00000085832	-	EPS15
chr1	51577178	51798426	ENSG00000117859	+	OSBPL9
chr1	52345722	52366204	ENSG00000154222	-	CC2D1B
chr1	52602370	52609050	ENSG00000116157	+	GPX7
chr1	52633167	52669682	ENSG00000182183	+	SHISAL2A
chr1	52684448	52698346	ENSG00000162377	-	COA7
chr1	53242363	53328468	ENSG00000157193	-	LRP8
chr1	53946084	53968167	ENSG00000116212	+	LRRC42
chr1	54542256	54639191	ENSG00000162390	+	ACOT11
chr1	54756897	54764522	ENSG00000162396	-	PARS2
chr1	54806062	54842251	ENSG00000162398	+	LEXM
chr1	55066358	55215363	ENSG00000162402	-	USP24
chr1	56994777	58546733	ENSG00000173406	-	DAB1
chr1	58415383	58546801	ENSG00000162600	-	OMA1
chr1	58575432	58577251	ENSG00000184292	-	TACSTD2
chr1	58643439	58700076	ENSG00000162601	-	MYSM1
chr1	59296637	59810646	ENSG00000172456	+	FGGY
chr1	59814785	59876321	ENSG00000134709	+	HOOK1
chr1	60865258	61462787	ENSG00000162599	+	NFIA
chr1	61681045	61725422	ENSG00000162604	-	TM2D1
chr1	61742476	62178674	ENSG00000132849	+	PATJ
chr1	62454297	62688385	ENSG00000116641	-	DOCK7
chr1	63367574	63438552	ENSG00000088035	+	ALG6
chr1	63440769	63593720	ENSG00000142856	-	ITGB3BP
chr1	64470128	64693057	ENSG00000158966	+	CACHD1
chr1	64833228	65067753	ENSG00000162434	-	JAK1
chr1	65248218	65415870	ENSG00000116675	+	DNAJC6
chr1	65420586	65436006	ENSG00000213625	+	LEPROT
chr1	65420651	65641558	ENSG00000116678	+	LEPR
chr1	65792513	66374578	ENSG00000184588	+	PDE4B
chr1	66533382	66751138	ENSG00000118473	+	SGIP1
chr1	66752458	66779046	ENSG00000152760	+	TCTEX1D1
chr1	66812884	66924855	ENSG00000152763	-	DNAI4
chr1	66924894	66988618	ENSG00000198160	+	MIER1
chr1	66999349	67054147	ENSG00000116704	-	SLC35D1
chr1	67307363	67398723	ENSG00000081985	+	IL12RB2
chr1	68045885	68051630	ENSG00000162595	-	DIRAS3
chr1	68098472	68233119	ENSG00000116729	-	WLS
chr1	69567921	70151944	ENSG00000033122	+	LRRC7
chr1	70205681	70253051	ENSG00000116754	+	SRSF11
chr1	70411217	70439850	ENSG00000116761	+	CTH
chr1	70852352	71047807	ENSG00000050628	-	PTGER3
chr1	74198234	74544392	ENSG00000259030	+	FPGT-TNNI3K
chr1	74568116	74673791	ENSG00000178965	-	ERICH3
chr1	74705481	74733407	ENSG00000116791	-	CRYZ
chr1	75202130	75611115	ENSG00000137968	-	SLC44A5
chr1	77088988	77219429	ENSG00000142892	-	PIGK
chr1	77282018	77559965	ENSG00000154027	+	AK5
chr1	77695986	77759851	ENSG00000077254	-	USP33
chr1	77779623	77879538	ENSG00000180488	+	MIGA1
chr1	78649795	78664077	ENSG00000137965	+	IFI44
chr1	78889763	79282123	ENSG00000162618	-	ADGRL4
chr1	81306146	81992435	ENSG00000117114	+	ADGRL2
chr1	84078061	84238497	ENSG00000142875	+	PRKACB
chr1	84479258	84498351	ENSG00000117133	+	RPF1
chr1	84549610	84574479	ENSG00000117151	-	CTBS
chr1	84643705	84690802	ENSG00000117155	-	SSX2IP
chr1	84811601	84893205	ENSG00000171517	-	LPAR3
chr1	85729232	86156942	ENSG00000171502	-	COL24A1
chr1	86346823	86396341	ENSG00000122417	-	ODF2L
chr1	86424170	86456552	ENSG00000137975	+	CLCA2
chr1	86547077	86580753	ENSG00000016602	+	CLCA4
chr1	86862444	86914423	ENSG00000183291	-	SELENOF
chr1	88684221	88836254	ENSG00000065243	+	PKN2
chr1	88935772	88992952	ENSG00000137944	-	KYAT3
chr1	88979455	88992959	ENSG00000213516	-	RBMXL1
chr1	89006679	89022893	ENSG00000117226	-	GBP3
chr1	89106131	89150455	ENSG00000162645	-	GBP2
chr1	91260765	91404855	ENSG00000162669	-	HFM1
chr1	92508695	92792403	ENSG00000067208	-	EVI5
chr1	92832736	92961521	ENSG00000154511	-	DIPK1A
chr1	93149741	93180515	ENSG00000117500	-	TMED5
chr1	93179918	93278729	ENSG00000122483	+	CCDC18
chr1	93448117	93554660	ENSG00000137942	+	FNBP1L
chr1	94418388	94518665	ENSG00000117528	+	ABCD3
chr1	94820341	94895245	ENSG00000143036	+	SLC44A3
chr1	99850360	99924022	ENSG00000162688	+	AGL
chr1	100083562	100132954	ENSG00000156876	-	SASS6
chr1	100345000	100520276	ENSG00000079335	+	CDC14A
chr1	100872371	100895178	ENSG00000162694	-	EXTL2
chr1	100896075	100981756	ENSG00000162695	+	SLC30A7
chr1	101802559	101996925	ENSG00000118733	-	OLFM3
chr1	107140006	107484922	ENSG00000162631	+	NTNG1
chr1	107571160	107965179	ENSG00000134215	-	VAV3
chr1	109113678	109206780	ENSG00000116299	+	ELAPOR1
chr1	109213917	109238181	ENSG00000031698	+	SARS1
chr1	109249538	109275750	ENSG00000143126	+	CELSR2
chr1	109279555	109283185	ENSG00000134222	-	PSRC1
chr1	109539871	109548405	ENSG00000156097	+	GPR61
chr1	109548614	109600194	ENSG00000065135	+	GNAI3
chr1	109616103	109632050	ENSG00000116337	+	AMPD2
chr1	109656098	109674835	ENSG00000168765	+	GSTM4
chr1	109668021	109709550	ENSG00000213366	+	GSTM2
chr1	109711779	109775427	ENSG00000134201	+	GSTM5
chr1	109984764	110023741	ENSG00000168710	+	AHCYL1
chr1	110059869	110070671	ENSG00000156150	-	ALX3
chr1	110150493	110202201	ENSG00000197106	+	SLC6A17
chr1	110210313	110283099	ENSG00000116396	+	KCNC4
chr1	110401248	110407941	ENSG00000134248	-	LAMTOR5
chr1	111117162	111140202	ENSG00000156171	-	DRAM2
chr1	111200770	111243439	ENSG00000064886	+	CHI3L2
chr1	111473791	111478511	ENSG00000143110	+	C1orf162
chr1	111483347	111563961	ENSG00000121933	-	TMIGD3
chr1	111499428	111503632	ENSG00000282608	-	ADORA3
chr1	111680629	111755823	ENSG00000197852	-	INKA2
chr1	111754831	111775601	ENSG00000064703	+	DDX20
chr1	112702613	112711432	ENSG00000271810	-	AL603832.3
chr1	113073197	113132259	ENSG00000198799	+	LRIG2
chr1	113696830	113759488	ENSG00000116793	-	PHTF1
chr1	113761831	113812475	ENSG00000081019	-	RSBN1
chr1	113876815	113887580	ENSG00000188761	-	BCL2L15
chr1	113894193	113905200	ENSG00000134262	-	AP4B1
chr1	114582847	114670421	ENSG00000175984	-	DENND2C
chr1	114704468	114716770	ENSG00000213281	-	NRAS
chr1	115048010	115089502	ENSG00000134198	-	TSPAN2
chr1	115700020	115768713	ENSG00000118729	-	CASQ2
chr1	115836376	115843916	ENSG00000177551	-	NHLH2
chr1	115976512	116070053	ENSG00000163393	+	SLC22A15
chr1	117863484	117929620	ENSG00000196505	-	GDAP2
chr1	117929719	117966542	ENSG00000065183	+	WDR3
chr1	144421385	144461673	ENSG00000266338	-	NBPF15
chr1	146938743	146996201	ENSG00000268043	+	NBPF12
chr1	148607039	148679778	ENSG00000286019	-	NOTCH2NLB
chr1	148808180	149048285	ENSG00000178104	+	PDE4DIP
chr1	149054026	149103560	ENSG00000269713	-	NBPF9
chr1	149390613	149468029	ENSG00000286219	+	NOTCH2NLC
chr1	149923316	149927802	ENSG00000143368	-	SF3B4
chr1	150257250	150265077	ENSG00000118298	+	CA14
chr1	150268199	150280915	ENSG00000118292	+	C1orf54
chr1	150549368	150560936	ENSG00000143382	+	ADAMTSL4
chr1	150794879	150808907	ENSG00000143387	-	CTSK
chr1	150809712	150876707	ENSG00000143437	-	ARNT
chr1	150996085	151008374	ENSG00000143409	-	MINDY1
chr1	151070577	151125541	ENSG00000143458	+	GABPB2
chr1	151131684	151146663	ENSG00000143434	-	SEMA6C
chr1	151291796	151327714	ENSG00000143393	-	PI4KB
chr1	151510509	151538691	ENSG00000143375	+	CGN
chr1	151759646	151763495	ENSG00000143436	-	MRPL9
chr1	151770106	151791415	ENSG00000182134	-	TDRKH
chr1	151870865	151909636	ENSG00000159445	-	THEM4
chr1	152032505	152047906	ENSG00000163191	-	S100A11
chr1	152106316	152115453	ENSG00000159450	-	TCHH
chr1	152212075	152224192	ENSG00000197915	-	HRNR
chr1	153357853	153361022	ENSG00000163220	+	S100A9
chr1	153534598	153536243	ENSG00000197956	-	S100A6
chr1	153606885	153613144	ENSG00000188643	-	S100A16
chr1	153618786	153631359	ENSG00000189171	-	S100A13
chr1	153627925	153632038	ENSG00000160678	+	S100A1
chr1	153728049	153774807	ENSG00000143624	+	INTS3
chr1	153774353	153780156	ENSG00000143554	+	SLC27A3
chr1	153959150	153975886	ENSG00000285779	-	AL358472.7
chr1	153990761	153992154	ENSG00000177954	+	RPS27
chr1	154206695	154220636	ENSG00000143612	-	C1orf43
chr1	154220178	154271509	ENSG00000143569	+	UBAP2L
chr1	154272588	154275874	ENSG00000143575	+	HAX1
chr1	154325524	154351303	ENSG00000143515	+	ATP8B2
chr1	154548576	154559027	ENSG00000160714	-	UBE2Q1
chr1	154567777	154580012	ENSG00000160716	+	CHRNB2
chr1	154581694	154628012	ENSG00000160710	-	ADAR
chr1	155002629	155018521	ENSG00000160685	+	ZBTB7B
chr1	155050565	155062774	ENSG00000143537	+	ADAM15
chr1	155063747	155086806	ENSG00000251246	+	AL691442.1
chr1	155185823	155192915	ENSG00000185499	-	MUC1
chr1	155195587	155209050	ENSG00000169231	-	THBS3
chr1	155320893	155331113	ENSG00000160753	+	RUSC1
chr1	155335267	155563161	ENSG00000116539	-	ASH1L
chr1	155897807	155911403	ENSG00000143622	-	RIT1
chr1	155946850	156007069	ENSG00000116584	-	ARHGEF2
chr1	156147365	156177751	ENSG00000196189	+	SEMA4A
chr1	156249223	156282824	ENSG00000198952	-	SMG5
chr1	156463726	156500778	ENSG00000116604	-	MEF2D
chr1	156594300	156601489	ENSG00000160818	-	GPATCH4
chr1	156641389	156659527	ENSG00000132692	+	BCAN
chr1	156728441	156736959	ENSG00000143303	+	RRNAD1
chr1	156742108	156766924	ENSG00000143321	-	HDGF
chr1	156750609	156800814	ENSG00000143294	+	PRCC
chr1	156815639	156881849	ENSG00000198400	+	NTRK1
chr1	156893697	156916433	ENSG00000187800	+	PEAR1
chr1	157830910	157898255	ENSG00000073754	-	CD5L
chr1	160190574	160201885	ENSG00000143318	+	CASQ1
chr1	160288593	160343272	ENSG00000122218	-	COPA
chr1	160343315	160358951	ENSG00000162736	+	NCSTN
chr1	160367070	160372845	ENSG00000171786	+	NHLH1
chr1	160541094	160579515	ENSG00000066294	-	CD84
chr1	160995210	161021342	ENSG00000158769	-	F11R
chr1	161037630	161038976	ENSG00000215845	-	TSTD1
chr1	161039250	161045976	ENSG00000158773	-	USF1
chr1	161046945	161069969	ENSG00000186517	-	ARHGAP30
chr1	161098360	161100345	ENSG00000162755	+	KLHDC9
chr1	161118085	161125444	ENSG00000158793	+	NIT1
chr1	161197103	161214510	ENSG00000158864	+	NDUFS2
chr1	161215233	161220698	ENSG00000158869	+	FCER1G
chr1	161222291	161223630	ENSG00000158874	-	APOA2
chr1	161258744	161285449	ENSG00000248485	+	PCP4L1
chr1	161304734	161309967	ENSG00000158887	-	MPZ
chr1	161505429	161524012	ENSG00000143226	+	FCGR2A
chr1	161706971	161714351	ENSG00000132185	+	FCRLA
chr1	161721562	161728142	ENSG00000162746	+	FCRLB
chr1	161749757	161757237	ENSG00000081721	+	DUSP12
chr1	162069690	162370474	ENSG00000198929	+	NOS1AP
chr1	162561505	162599841	ENSG00000117143	+	UAP1
chr1	162631372	162787404	ENSG00000162733	+	DDR2
chr1	162790701	162812816	ENSG00000132196	+	HSD17B7
chr1	163068774	163076801	ENSG00000117152	+	RGS4
chr1	163111120	163321790	ENSG00000143248	-	RGS5
chr1	163266575	163355763	ENSG00000143228	+	NUF2
chr1	164555583	164899295	ENSG00000185630	+	PBX1
chr1	165631212	165661795	ENSG00000143198	+	MGST3
chr1	165827613	165911617	ENSG00000143179	+	UCK2
chr1	166057425	166167000	ENSG00000188859	-	FAM78B
chr1	166856509	166876263	ENSG00000152382	-	TADA1
chr1	167220875	167427344	ENSG00000143190	+	POU2F1
chr1	167630092	167708695	ENSG00000198771	+	RCSD1
chr1	167721191	167791918	ENSG00000197965	+	MPZL1
chr1	167916674	167937071	ENSG00000143158	-	MPC2
chr1	167935782	168075842	ENSG00000143164	+	DCAF6
chr1	168079542	168137666	ENSG00000143147	-	GPR161
chr1	168225937	168253020	ENSG00000213064	+	SFT2D2
chr1	168280876	168314425	ENSG00000143178	+	TBX19
chr1	168695467	168729205	ENSG00000143196	-	DPT
chr1	169105696	169132721	ENSG00000143153	+	ATP1B1
chr1	169132530	169367947	ENSG00000143156	-	NME7
chr1	169463908	169485943	ENSG00000117479	-	SLC19A2
chr1	169511950	169586587	ENSG00000198734	-	F5
chr1	171314182	171342083	ENSG00000076258	+	FMO4
chr1	171841497	172418465	ENSG00000197959	+	DNM3
chr1	172370188	172444085	ENSG00000135845	-	PIGC
chr1	173477329	173488814	ENSG00000117592	+	PRDX6
chr1	173500459	173603071	ENSG00000162753	-	SLC9C2
chr1	173596059	173669836	ENSG00000285777	-	AL139142.2
chr1	173608335	173669850	ENSG00000183831	-	ANKRD45
chr1	173824652	173858807	ENSG00000117593	+	DARS2
chr1	173931083	174022356	ENSG00000135870	-	RC3H1
chr1	174999162	175012026	ENSG00000116161	+	CACYBP
chr1	175067832	175148074	ENSG00000120332	+	TNN
chr1	175156985	175192998	ENSG00000235750	-	KIAA0040
chr1	175315193	175743615	ENSG00000116147	-	TNR
chr1	175944830	176207285	ENSG00000143207	-	COP1
chr1	176463170	176845600	ENSG00000116183	+	PAPPA2
chr1	176857301	177164972	ENSG00000152092	-	ASTN1
chr1	177923955	177984302	ENSG00000120341	-	SEC16B
chr1	178094103	178484146	ENSG00000075391	+	RASAL2
chr1	179365719	179554734	ENSG00000162779	+	AXDND1
chr1	179954772	180114874	ENSG00000135837	+	CEP350
chr1	180632021	180890278	ENSG00000143324	+	XPR1
chr1	180912896	180951613	ENSG00000135835	+	KIAA1614
chr1	180972711	181023120	ENSG00000135823	-	STX6
chr1	181317689	181808083	ENSG00000198216	+	CACNA1E
chr1	182573633	182589255	ENSG00000135828	-	RNASEL
chr1	182598622	182604388	ENSG00000143333	-	RGS16
chr1	182789292	182830383	ENSG00000135838	+	NPL
chr1	183023419	183145591	ENSG00000135862	+	LAMC1
chr1	183248236	183418379	ENSG00000157064	-	NMNAT2
chr1	186311651	186375692	ENSG00000047410	-	TPR
chr1	190097657	190478403	ENSG00000162670	-	BRINP3
chr1	192809038	192812274	ENSG00000116741	+	RGS2
chr1	193059453	193091776	ENSG00000116747	+	RO60
chr1	196652042	196747503	ENSG00000000971	+	CFH
chr1	197268203	197478454	ENSG00000134376	+	CRB1
chr1	198638456	198757475	ENSG00000081237	+	PTPRC
chr1	200872980	200874177	ENSG00000170128	+	GPR25
chr1	200969389	201023713	ENSG00000116852	-	KIF21B
chr1	201039511	201112450	ENSG00000081248	-	CACNA1S
chr1	201283451	201332992	ENSG00000081277	+	PKP1
chr1	201622884	201826968	ENSG00000134369	+	NAV1
chr1	201829148	201884290	ENSG00000198700	+	IPO9
chr1	201888679	201892586	ENSG00000198892	+	SHISA4
chr1	201896455	201946587	ENSG00000163431	-	LMOD1
chr1	202122916	202133591	ENSG00000170075	+	GPR37L1
chr1	202147012	202161587	ENSG00000143851	-	PTPN7
chr1	202724494	202808486	ENSG00000117139	-	KDM5B
chr1	202961872	202967274	ENSG00000159348	-	CYB5R1
chr1	203026497	203078739	ENSG00000143847	+	PPFIA4
chr1	203178930	203186703	ENSG00000133048	-	CHI3L1
chr1	203475805	203491351	ENSG00000188783	+	PRELP
chr1	203626786	203744080	ENSG00000058668	+	ATP2B4
chr1	203795622	203854998	ENSG00000058673	+	ZC3H11A
chr1	203795713	203854998	ENSG00000257315	+	ZBED6
chr1	204073114	204127742	ENSG00000143842	+	SOX13
chr1	204190340	204196490	ENSG00000170498	-	KISS1
chr1	204198162	204213987	ENSG00000174567	-	GOLT1A
chr1	204218852	204377664	ENSG00000143850	-	PLEKHA6
chr1	204422627	204494723	ENSG00000133056	-	PIK3C2B
chr1	204617169	204685737	ENSG00000170382	-	LRRN2
chr1	204828650	205022821	ENSG00000163531	+	NFASC
chr1	205042936	205078288	ENSG00000184144	+	CNTN2
chr1	205083128	205084459	ENSG00000174529	-	TMEM81
chr1	205086141	205122014	ENSG00000117222	-	RBBP5
