#chr	start	end	gene_id	strand	gene_name	event_ID
chr12	56271698	56300390	ENSG00000062485	-	CS	image_AD2; image_Aging4
chr12	56309841	56316118	ENSG00000257727	-	CNPY2	image_AD2; image_Aging4
chr12	56316222	56334052	ENSG00000135473	-	PAN2	image_AD2; image_Aging4
chr12	56334173	56340409	ENSG00000110944	+	IL23A	image_AD2; image_Aging4
chr12	56341596	56360141	ENSG00000170581	-	STAT2	image_AD2; image_Aging4
chr12	67648337	67665405	ENSG00000127334	+	DYRK2	image_Aging2
chr12	102012839	102062148	ENSG00000120860	-	WASHC3	image_Aging2
chr12	102120182	102197519	ENSG00000185480	+	PARPBP	image_Aging2
chr12	121429095	121581022	ENSG00000089094	-	KDM2B	image_AD1; image_Aging3
chr13	36168216	36214587	ENSG00000120669	-	SOHLH2	image_AD2; image_Aging2
chr13	36168793	36297841	ENSG00000250709	-	CCDC169-SOHLH2	image_AD2; image_Aging2
chr13	36222007	36297839	ENSG00000242715	-	CCDC169	image_AD2; image_Aging2
chr13	36301637	36370179	ENSG00000133104	-	SPART	image_AD2; image_Aging2
chr13	109752694	109786582	ENSG00000185950	-	IRS2	image_Aging3
chr14	57999734	58298138	ENSG00000139971	-	ARMH4	image_AD1; image_Aging3
chr14	58244842	58272011	ENSG00000100567	+	PSMA3	image_AD1; image_Aging3
chr14	75002920	75012365	ENSG00000119718	+	EIF2B2	image_Aging1
chr14	75013768	75051531	ENSG00000119684	-	MLH3	image_Aging1
chr14	75053236	75069482	ENSG00000119640	-	ACYP1	image_Aging1
chr14	75064108	75119501	ENSG00000119703	+	ZC2HC1C	image_Aging1
chr14	75079352	75127343	ENSG00000119638	-	NEK9	image_Aging1
chr14	75131468	75176611	ENSG00000170348	-	TMED10	image_Aging1
chr16	58058	76354	ENSG00000007384	-	RHBDF1	image_Aging5
chr16	14922801	14952059	ENSG00000183426	+	NPIPA1	image_Aging2
chr16	14922801	14952059	ENSG00000183426	+	NPIPA1	image_Aging1
chr16	14974590	15139338	ENSG00000179889	+	PDXDC1	image_Aging1
chr16	15363627	15381046	ENSG00000183793	-	NPIPA5	image_Aging1
chr16	24610208	24827631	ENSG00000090905	+	TNRC6A	image_Aging1
chr16	24845840	24911627	ENSG00000158865	+	SLC5A11	image_Aging1
chr16	28456371	28471174	ENSG00000233232	-	NPIPB7	image_Aging1
chr16	28553919	28591789	ENSG00000176476	+	SGF29	image_Aging1
chr16	28591942	28597049	ENSG00000197165	-	SULT1A2	image_Aging1
chr16	28605195	28623624	ENSG00000196502	-	SULT1A1	image_Aging1
chr16	28688557	28735726	ENSG00000184110	+	EIF3C	image_Aging1
chr16	28842410	28846347	ENSG00000178952	-	TUFM	image_Aging1
chr16	28846599	28874211	ENSG00000178188	+	SH2B1	image_Aging1
chr16	28878404	28904465	ENSG00000196296	+	ATP2A1	image_Aging1
chr16	29871158	29899546	ENSG00000174938	-	SEZ6L2	image_Aging2; image_Aging3
chr16	29900374	29919863	ENSG00000174939	+	ASPHD1	image_Aging2; image_Aging3
chr16	29905011	29926235	ENSG00000174943	-	KCTD13	image_Aging2; image_Aging3
chr16	29940884	29973049	ENSG00000149932	+	TMEM219	image_Aging2; image_Aging3
chr16	30104809	30113536	ENSG00000102886	-	GDPD3	image_Aging2; image_Aging3
chr16	30114104	30123505	ENSG00000102882	-	MAPK3	image_Aging2; image_Aging3
chr16	66720892	66751608	ENSG00000135720	-	DYNC1LI2	image_Aging1
chr16	67227119	67229277	ENSG00000168701	+	TMEM208	image_Aging1
chr16	89707133	89720897	ENSG00000075399	-	VPS9D1	image_Aging5
chr17	29614755	29622906	ENSG00000167549	-	CORO6	image_Aging2
chr17	29625937	29930275	ENSG00000141298	-	SSH2	image_Aging2
chr17	29929199	30108451	ENSG00000176927	+	EFCAB5	image_Aging2
chr17	30115520	30186474	ENSG00000126653	+	NSRP1	image_Aging2
chr17	42950525	42980527	ENSG00000108825	-	PTGES3L-AARSD1	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45393901	45434420	ENSG00000159314	-	ARHGAP27	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45435899	45490748	ENSG00000225190	-	PLEKHM1	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45620343	45835825	ENSG00000263715	+	LINC02210-CRHR1	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45784279	45835827	ENSG00000120088	+	CRHR1	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45844880	45847066	ENSG00000185294	+	SPPL2C	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45894526	46028333	ENSG00000186868	+	MAPT	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45999249	45999693	ENSG00000256762	+	STH	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46029915	46225388	ENSG00000120071	-	KANSL1	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46274783	46361796	ENSG00000228696	-	ARL17B	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46292732	46337793	ENSG00000176681	+	LRRC37A	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46511510	46555649	ENSG00000238083	+	LRRC37A2	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46516701	46579690	ENSG00000185829	-	ARL17A	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46590668	46757463	ENSG00000073969	+	NSF	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46923132	47049931	ENSG00000262633	+	AC005670.2	image_Aging3; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	47323289	47441311	ENSG00000178852	+	EFCAB13	image_Aging5
chr17	47831633	47837718	ENSG00000141294	+	LRRC46	image_Aging5
chr17	48762234	48817213	ENSG00000170703	-	TTLL6	image_Aging5
chr17	48831025	48866521	ENSG00000136436	+	CALCOCO2	image_Aging5
chr17	48892764	48895870	ENSG00000159199	+	ATP5MC1	image_Aging5
chr17	48908406	48929055	ENSG00000159202	+	UBE2Z	image_Aging5
chr17	48929315	48944841	ENSG00000159210	-	SNF8	image_Aging5
chr17	58489528	58517904	ENSG00000108389	-	MTMR4	image_Aging2
chr17	58692572	58735610	ENSG00000108384	+	RAD51C	image_Aging2
chr17	58755853	58985178	ENSG00000175175	+	PPM1E	image_Aging2
chr17	58982637	59106920	ENSG00000108395	-	TRIM37	image_Aging2
chr17	67070443	67245988	ENSG00000198265	-	HELZ	image_Aging1
chr17	67825502	67984377	ENSG00000171634	+	BPTF	image_Aging4
chr17	68035635	68046853	ENSG00000182481	+	KPNA2	image_Aging4
chr17	77280568	77500595	ENSG00000184640	+	SEPTIN9	image_Aging5
chr17	82101459	82212829	ENSG00000176155	-	CCDC57	image_AD2
chr18	36777646	36829215	ENSG00000134779	-	TPGS2	image_Aging4
chr18	36829105	37232171	ENSG00000150477	+	KIAA1328	image_Aging4
chr18	79069284	79378286	ENSG00000166377	+	ATP9B	image_Aging1
chr20	3208867	3223869	ENSG00000125877	+	ITPA	image_Aging1
chr20	3227416	3239558	ENSG00000088836	-	SLC4A11	image_Aging1
chr20	3249305	3407668	ENSG00000088854	-	C20orf194	image_Aging1
chr20	31664451	31723988	ENSG00000171552	-	BCL2L1	image_Aging1; image_Aging2
chr20	34363240	34540747	ENSG00000078747	+	ITCH	image_Aging3
chr20	34546853	34560344	ENSG00000101460	+	MAP1LC3A	image_Aging3
chr20	34689096	34825650	ENSG00000198646	-	NCOA6	image_Aging3
chr20	34844719	34872855	ENSG00000131067	-	GGT7	image_Aging3
chr20	35002403	35092806	ENSG00000100991	-	TRPC4AP	image_Aging3
chr20	35302565	35412030	ENSG00000101019	-	UQCC1	image_AD1; image_AD2
chr20	35433346	35454745	ENSG00000125965	-	GDF5	image_AD1; image_AD2
chr20	63895125	63936030	ENSG00000101152	+	DNAJC5	image_Aging1; image_Aging3
chr19	3976055	3985462	ENSG00000167658	-	EEF2	image_AD1
chr19	4007735	4039385	ENSG00000105229	+	PIAS4	image_AD1
chr19	35648322	35658781	ENSG00000126267	+	COX6B1	image_Aging4
chr19	35666515	35678482	ENSG00000105668	+	UPK1A	image_Aging4
chr19	35704557	35717037	ENSG00000011590	+	ZBTB32	image_Aging4
chr19	35717972	35738877	ENSG00000272333	+	KMT2B	image_Aging4
chr19	35758142	35769863	ENSG00000167595	+	PROSER3	image_Aging4
chr19	40691513	40718206	ENSG00000123815	-	COQ8B	image_Aging4
chr19	47255979	47273700	ENSG00000105321	+	CCDC9	image_Aging5
chr19	47290022	47322065	ENSG00000197405	+	C5AR1	image_Aging5
chr22	20707690	20859416	ENSG00000241973	-	PI4KA	image_AD1
chr22	20774112	20787719	ENSG00000099937	+	SERPIND1	image_AD1
chr22	20859006	20891213	ENSG00000099940	+	SNAP29	image_AD1
chr22	24417878	24442356	ENSG00000128271	+	ADORA2A	image_AD1
chr22	38483437	38507659	ENSG00000100201	-	DDX17	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38578119	38656628	ENSG00000184949	-	FAM227A	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38656639	38673853	ENSG00000100211	+	CBY1	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38681956	38685420	ENSG00000100216	+	TOMM22	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38685542	38701555	ENSG00000100221	-	JOSD1	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38734724	38794142	ENSG00000100242	-	SUN2	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	45308967	45341954	ENSG00000100376	+	FAM118A	image_Aging5; Telomere_pc1
chr21	43529185	43659487	ENSG00000160207	-	HSF2BP	image_Aging3
chr21	43659559	43696078	ENSG00000160208	+	RRP1B	image_Aging3
chr21	43719093	43762306	ENSG00000160209	+	PDXK	image_Aging3
