#chr	start	end	gene_id	strand	gene_name
chr1	23380908	23424747	ENSG00000204219	-	TCEA3
chr1	23428562	23484567	ENSG00000088280	-	ASAP3
chr1	25616790	25786205	ENSG00000117643	+	MAN1C1
chr1	26234199	26278807	ENSG00000130695	+	CEP85
chr1	26281327	26318362	ENSG00000158062	-	UBXN11
chr1	26317957	26320522	ENSG00000169442	+	CD52
chr1	26900237	26946870	ENSG00000090273	+	NUDC
chr1	27872542	27886684	ENSG00000130775	+	THEMIS2
chr1	27891523	27914745	ENSG00000117748	-	RPA2
chr1	27934999	27959156	ENSG00000130768	+	SMPDL3B
chr1	27959587	27968092	ENSG00000158156	+	XKR8
chr1	28369581	28500363	ENSG00000204138	+	PHACTR4
chr1	28505942	28539299	ENSG00000180198	+	RCC1
chr1	29236515	29326812	ENSG00000060656	+	PTPRU
chr1	31652262	31704318	ENSG00000084636	-	COL16A1
chr1	31906420	31944855	ENSG00000184007	-	PTP4A2
chr1	32251238	32286164	ENSG00000182866	+	LCK
chr1	32361269	32364277	ENSG00000225828	-	FAM229A
chr1	32816766	32858874	ENSG00000116497	+	S100PBP
chr1	32885993	32898440	ENSG00000121905	+	HPCA
chr1	37489992	37514765	ENSG00000163875	-	MEAF6
chr1	37556918	37566856	ENSG00000163879	+	DNALI1
chr1	38991275	39006058	ENSG00000174574	+	AKIRIN1
chr1	39491635	39529868	ENSG00000183682	+	BMP8A
chr1	40040232	40072648	ENSG00000131236	+	CAP1
chr1	40300488	40317285	ENSG00000049089	-	COL9A2
chr1	40344849	40423325	ENSG00000084070	+	SMAP2
chr1	40450106	40463717	ENSG00000187801	+	ZFP69B
chr1	40508740	40516555	ENSG00000164002	+	EXO5
chr1	40620679	40665681	ENSG00000117016	-	RIMS3
chr1	40691688	40771602	ENSG00000066136	+	NFYC
chr1	42767248	42779490	ENSG00000164008	+	C1orf50
chr1	43164174	43270935	ENSG00000117395	-	EBNA1BP2
chr1	43525186	43623665	ENSG00000142949	+	PTPRF
chr1	43933319	43937239	ENSG00000117407	+	ARTN
chr1	43969999	43973368	ENSG00000132768	+	DPH2
chr1	44213454	44220680	ENSG00000178028	+	DMAP1
chr1	44221069	44355259	ENSG00000117419	-	ERI3
chr1	44635237	44674480	ENSG00000126106	-	TMEM53
chr1	44674712	44725590	ENSG00000198520	+	ARMH1
chr1	44739817	44767766	ENSG00000142945	+	KIF2C
chr1	44783584	44788169	ENSG00000142959	-	BEST4
chr1	44819843	44843252	ENSG00000117425	-	PTCH2
chr1	44850521	44986721	ENSG00000070785	-	EIF2B3
chr1	45010949	45015574	ENSG00000126088	+	UROD
chr1	45016398	45306208	ENSG00000162415	-	ZSWIM5
chr1	45329162	45340892	ENSG00000132781	-	MUTYH
chr1	45329261	45491154	ENSG00000288208	-	AL451136.1
chr1	45500299	45513381	ENSG00000132763	+	MMACHC
chr1	45550542	45570048	ENSG00000117448	+	AKR1A1
chr1	45694323	45750652	ENSG00000197429	-	IPP
chr1	46203333	46221255	ENSG00000171357	+	LURAP1
chr1	46394316	46413847	ENSG00000117480	+	FAAH
chr1	46557406	46616842	ENSG00000079277	-	MKNK1
chr1	47333796	47378838	ENSG00000162368	+	CMPK1
chr1	51789190	51878936	ENSG00000078618	-	NRDC
chr1	52404601	52420835	ENSG00000134748	+	PRPF38A
chr1	52927275	53051697	ENSG00000116171	+	SCP2
chr1	53196791	53214196	ENSG00000157184	+	CPT2
chr1	53851718	53889797	ENSG00000058799	-	YIPF1
chr1	53916573	53945698	ENSG00000081870	-	HSPB11
chr1	65147548	65232144	ENSG00000162433	+	AK4
chr1	65248218	65415870	ENSG00000116675	+	DNAJC6
chr1	65420586	65436006	ENSG00000213625	+	LEPROT
chr1	65420651	65641558	ENSG00000116678	+	LEPR
chr1	65792513	66374578	ENSG00000184588	+	PDE4B
chr1	75724430	75787574	ENSG00000117054	+	ACADM
chr1	76867479	77067545	ENSG00000117069	+	ST6GALNAC5
chr1	77944054	77979109	ENSG00000162613	-	FUBP1
chr1	84506299	84566193	ENSG00000122432	+	SPATA1
chr1	86547077	86580753	ENSG00000016602	+	CLCA4
chr1	88979455	88992959	ENSG00000213516	-	RBMXL1
chr1	92029984	92063537	ENSG00000172031	+	EPHX4
chr1	92508695	92792403	ENSG00000067208	-	EVI5
chr1	93149741	93180515	ENSG00000117500	-	TMED5
chr1	94529172	94541758	ENSG00000117525	-	F3
chr1	100148447	100178272	ENSG00000122477	-	LRRC39
chr1	100896075	100981756	ENSG00000162695	+	SLC30A7
chr1	102876466	103108871	ENSG00000060718	-	COL11A1
chr1	103525690	103555238	ENSG00000185946	+	RNPC3
chr1	103553814	103579533	ENSG00000240038	+	AMY2B
chr1	103616810	103625779	ENSG00000243480	+	AMY2A
chr1	109309567	109397917	ENSG00000134243	-	SORT1
chr1	109616103	109632050	ENSG00000116337	+	AMPD2
chr1	109668021	109709550	ENSG00000213366	+	GSTM2
chr1	109687813	109709038	ENSG00000134184	+	GSTM1
chr1	109711779	109775427	ENSG00000134201	+	GSTM5
chr1	109733931	109741037	ENSG00000134202	-	GSTM3
chr1	110150493	110202201	ENSG00000197106	+	SLC6A17
chr1	110362850	110391081	ENSG00000168679	-	SLC16A4
chr1	110401248	110407941	ENSG00000134248	-	LAMTOR5
chr1	111414318	111427734	ENSG00000085465	-	OVGP1
chr1	111542217	111716690	ENSG00000116473	+	RAP1A
chr1	111754831	111775601	ENSG00000064703	+	DDX20
chr1	113696830	113759488	ENSG00000116793	-	PHTF1
chr1	113813810	113871752	ENSG00000134242	-	PTPN22
chr1	113876815	113887580	ENSG00000188761	-	BCL2L15
chr1	113894193	113905200	ENSG00000134262	-	AP4B1
chr1	113929323	113977868	ENSG00000163349	+	HIPK1
chr1	114392789	114511202	ENSG00000197323	-	TRIM33
chr1	116574398	116667754	ENSG00000143061	-	IGSF3
chr1	117367448	117528871	ENSG00000198162	+	MAN1A2
chr1	147629651	147670523	ENSG00000162836	-	ACP6
chr1	149782688	149812372	ENSG00000203814	-	H2BC18
chr1	149903317	149917843	ENSG00000159164	-	SV2A
chr1	149928650	149936878	ENSG00000014914	-	MTMR11
chr1	149937811	150010725	ENSG00000264522	-	OTUD7B
chr1	150363090	150476565	ENSG00000163125	+	RPRD2
chr1	150508061	150513788	ENSG00000143369	+	ECM1
chr1	150730078	150765956	ENSG00000163131	-	CTSS
chr1	150809712	150876707	ENSG00000143437	-	ARNT
chr1	151399572	151401936	ENSG00000159377	+	PSMB4
chr1	151402723	151459493	ENSG00000143442	-	POGZ
chr1	153357853	153361022	ENSG00000163220	+	S100A9
chr1	153789029	153923359	ENSG00000143614	-	GATAD2B
chr1	153929500	153946717	ENSG00000198837	-	DENND4B
chr1	154155303	154194647	ENSG00000143549	-	TPM3
chr1	154502218	154548146	ENSG00000163239	+	TDRD10
chr1	154548576	154559027	ENSG00000160714	-	UBE2Q1
chr1	155335267	155563161	ENSG00000116539	-	ASH1L
chr1	156668762	156677406	ENSG00000132688	-	NES
chr1	159927038	159945612	ENSG00000085552	-	IGSF9
chr1	160997956	161038961	ENSG00000270149	-	AL591806.2
chr1	161037630	161038976	ENSG00000215845	-	TSTD1
chr1	161039250	161045976	ENSG00000158773	-	USF1
chr1	161215233	161220698	ENSG00000158869	+	FCER1G
chr1	162069690	162370474	ENSG00000198929	+	NOS1AP
chr1	164555583	164899295	ENSG00000185630	+	PBX1
chr1	166057425	166167000	ENSG00000188859	-	FAM78B
chr1	166975581	167022213	ENSG00000143194	+	MAEL
chr1	168178961	168202108	ENSG00000143155	+	TIPRL
chr1	169463908	169485943	ENSG00000117479	-	SLC19A2
chr1	169511950	169586587	ENSG00000198734	-	F5
chr1	171781659	171814022	ENSG00000010165	+	EEF1AKNMT
chr1	171841497	172418465	ENSG00000197959	+	DNM3
chr1	172370188	172444085	ENSG00000135845	-	PIGC
chr1	172659102	172666875	ENSG00000117560	+	FASLG
chr1	175010788	175023424	ENSG00000120333	-	MRPS14
chr1	178725146	178921840	ENSG00000116191	+	RALGPS2
chr1	179365719	179554734	ENSG00000162779	+	AXDND1
chr1	179839966	179877802	ENSG00000169905	-	TOR1AIP2
chr1	180912896	180951613	ENSG00000135835	+	KIAA1614
chr1	180972711	181023120	ENSG00000135823	-	STX6
chr1	181033424	181061937	ENSG00000153029	+	MR1
chr1	182378097	182392205	ENSG00000135821	-	GLUL
chr1	182573633	182589255	ENSG00000135828	-	RNASEL
chr1	184690236	184754906	ENSG00000116406	-	EDEM3
chr1	185045525	185102602	ENSG00000121481	+	RNF2
chr1	200551496	200620750	ENSG00000118193	-	KIF14
chr1	200623895	200669906	ENSG00000118197	-	DDX59
chr1	200739557	200860703	ENSG00000118200	+	CAMSAP2
chr1	201134771	201171573	ENSG00000116857	-	TMEM9
chr1	201829148	201884290	ENSG00000198700	+	IPO9
chr1	201896455	201946587	ENSG00000163431	-	LMOD1
chr1	203475805	203491351	ENSG00000188783	+	PRELP
chr1	204422627	204494723	ENSG00000133056	-	PIK3C2B
chr1	205042936	205078288	ENSG00000184144	+	CNTN2
chr1	205142504	205211701	ENSG00000133059	-	DSTYK
chr1	205504595	205532792	ENSG00000117266	+	CDK18
chr1	205913047	205943459	ENSG00000174502	-	SLC26A9
chr1	206470475	206496888	ENSG00000263528	+	IKBKE
chr1	207496146	207641764	ENSG00000203710	+	CR1
chr1	207752053	207795512	ENSG00000117335	+	CD46
chr1	207880971	207911401	ENSG00000174059	-	CD34
chr1	209785616	209806174	ENSG00000117595	-	IRF6
chr1	209827971	209857564	ENSG00000117597	+	UTP25
chr1	209900922	210171388	ENSG00000143469	+	SYT14
chr1	210328251	210676295	ENSG00000054392	+	HHAT
chr1	212686416	212699839	ENSG00000123685	-	BATF3
chr1	212726152	212791781	ENSG00000117697	-	NSL1
chr1	212791827	212816829	ENSG00000203705	+	TATDN3
chr1	212858274	212899362	ENSG00000162769	+	FLVCR1
chr1	212950519	212992036	ENSG00000143494	+	VASH2
chr1	212992181	213015866	ENSG00000174606	-	ANGEL2
chr1	213051232	213274773	ENSG00000136643	+	RPS6KC1
chr1	214348699	214552448	ENSG00000152104	-	PTPN14
chr1	215567303	215621806	ENSG00000136636	+	KCTD3
chr1	220528135	220664460	ENSG00000116141	+	MARK1
chr1	220748224	220784814	ENSG00000117791	+	MTARC2
chr1	220786989	220884502	ENSG00000286231	+	AL445423.3
chr1	224114110	224162046	ENSG00000143756	+	FBXO28
chr1	225486834	225653141	ENSG00000154380	-	ENAH
chr1	225810123	225845562	ENSG00000143819	+	EPHX1
chr1	225886281	225911381	ENSG00000243709	-	LEFTY1
chr1	225936597	225941382	ENSG00000143768	-	LEFTY2
chr1	226360209	226408099	ENSG00000143799	-	PARP1
chr1	226631689	226739322	ENSG00000143772	-	ITPKB
chr1	226940285	226987543	ENSG00000163050	+	COQ8A
chr1	226989864	227318473	ENSG00000143776	-	CDC42BPA
chr1	227728199	227781825	ENSG00000143740	+	SNAP47
chr1	229321010	229343293	ENSG00000154429	-	CCSAP
chr1	230314489	230426331	ENSG00000177614	-	PGBD5
chr1	232983434	233295724	ENSG00000135749	-	PCNX2
chr1	233614105	233672513	ENSG00000135750	+	KCNK1
chr1	235131182	235161257	ENSG00000188739	-	RBM34
chr1	235131633	235328218	ENSG00000054267	-	ARID4B
chr1	235327349	235344531	ENSG00000152904	+	GGPS1
chr1	235328569	235448951	ENSG00000285053	+	TBCE
chr1	235367359	235452442	ENSG00000284770	+	TBCE
chr1	236795291	236921277	ENSG00000116984	+	MTR
chr1	245749341	246507311	ENSG00000185420	-	SMYD3
chr1	246724408	246768136	ENSG00000143653	+	SCCPDH
chr1	247099961	247104371	ENSG00000188295	-	ZNF669
chr1	247121974	247172015	ENSG00000196418	-	ZNF124
chr1	248145147	248146085	ENSG00000162727	+	OR2M5
chr2	1631886	1744851	ENSG00000130508	-	PXDN
chr2	3379674	3485093	ENSG00000171853	+	TRAPPC12
chr2	3594831	3644643	ENSG00000118004	+	COLEC11
chr2	9403474	9423527	ENSG00000119185	-	ITGB1BP1
chr2	9473657	9496542	ENSG00000134330	+	IAH1
chr2	9488485	9556731	ENSG00000151694	-	ADAM17
chr2	9583966	9630996	ENSG00000134308	-	YWHAQ
chr2	9843442	9934415	ENSG00000115750	+	TAF1B
chr2	16549458	16666330	ENSG00000197872	-	CYRIA
chr2	17510583	17518438	ENSG00000214842	-	RAD51AP2
chr2	17539125	17657017	ENSG00000163032	+	VSNL1
chr2	17663811	17800241	ENSG00000163029	-	SMC6
chr2	17753857	17788945	ENSG00000178295	+	GEN1
chr2	20248690	20352233	ENSG00000055917	-	PUM2
chr2	20667143	20679242	ENSG00000143869	+	GDF7
chr2	23748663	23927122	ENSG00000119778	-	ATAD2B
chr2	23927284	24004908	ENSG00000173960	+	UBXN2A
chr2	24943635	24972093	ENSG00000115137	-	DNAJC27
chr2	25377197	25673646	ENSG00000138101	-	DTNB
chr2	26034083	26137453	ENSG00000084733	+	RAB10
chr2	26401919	26456710	ENSG00000157856	+	DRC1
chr2	27042363	27070621	ENSG00000084693	+	AGBL5
chr2	27253683	27275816	ENSG00000115194	-	SLC30A3
chr2	27325848	27357033	ENSG00000115207	-	GTF3C2
chr2	27370495	27377534	ENSG00000115234	+	SNX17
chr2	27377234	27380789	ENSG00000163795	-	ZNF513
chr2	27427789	27442258	ENSG00000115216	+	NRBP1
chr2	27442365	27446480	ENSG00000157992	+	KRTCAP3
chr2	27444376	27489788	ENSG00000138002	-	IFT172
chr2	27628246	27651510	ENSG00000198522	+	GPN1
chr2	27663470	27694975	ENSG00000163798	+	SLC4A1AP
chr2	28751639	28802939	ENSG00000213639	+	PPP1CB
chr2	28782516	28850610	ENSG00000163806	+	SPDYA
chr2	28894666	28948218	ENSG00000163811	+	WDR43
chr2	28956610	29052229	ENSG00000189350	+	TOGARAM2
chr2	29097704	29189642	ENSG00000115295	+	CLIP4
chr2	32277903	32316593	ENSG00000119820	+	YIPF4
chr2	32946952	33399508	ENSG00000049323	+	LTBP1
chr2	33436323	33564749	ENSG00000152689	+	RASGRP3
chr2	39736060	39779266	ENSG00000138050	-	THUMPD2
chr2	42048020	42058516	ENSG00000162878	+	PKDCC
chr2	42333545	42425087	ENSG00000115944	-	COX7A2L
chr2	42442016	42493981	ENSG00000171126	-	KCNG3
chr2	42494568	42756946	ENSG00000057935	+	MTA3
chr2	42767088	42792582	ENSG00000162882	-	HAAO
chr2	43222401	43226605	ENSG00000152518	-	ZFP36L2
chr2	43230850	43596037	ENSG00000115970	-	THADA
chr2	43774038	43810009	ENSG00000138036	+	DYNC2LI1
chr2	45388679	45612164	ENSG00000068784	-	SRBD1
chr2	47695529	47810062	ENSG00000116062	+	MSH6
chr2	48314636	48379294	ENSG00000170802	+	FOXN2
chr2	48529924	48776516	ENSG00000068781	+	STON1-GTF2A1L
chr2	53532671	53860159	ENSG00000115239	-	ASB3
chr2	53970837	54305299	ENSG00000170634	+	ACYP2
chr2	54253177	54256228	ENSG00000178021	-	TSPYL6
chr2	54330033	54383741	ENSG00000177994	+	C2orf73
chr2	54456316	54671445	ENSG00000115306	+	SPTBN1
chr2	54723498	54972024	ENSG00000214595	+	EML6
chr2	58159242	58241371	ENSG00000115392	-	FANCL
chr2	64092651	64144419	ENSG00000197329	-	PELI1
chr2	65227787	65271252	ENSG00000138071	+	ACTR2
chr2	67397321	67412088	ENSG00000143971	+	ETAA1
chr2	68157887	68176237	ENSG00000115946	+	PNO1
chr2	68284170	68320050	ENSG00000119865	-	CNRIP1
chr2	68365281	68397452	ENSG00000115956	+	PLEK
chr2	68679600	68826832	ENSG00000163219	+	ARHGAP25
chr2	69319779	69387249	ENSG00000198380	-	GFPT1
chr2	69457996	69674348	ENSG00000115977	-	AAK1
chr2	71064343	71079807	ENSG00000124357	+	NAGK
chr2	71109683	71130238	ENSG00000124370	-	MCEE
chr2	71130631	71150100	ENSG00000124383	+	MPHOSPH10
chr2	71182737	71227102	ENSG00000124374	-	PAIP2B
chr2	71276560	71435068	ENSG00000075292	+	ZNF638
chr2	74393835	74421661	ENSG00000159239	-	AC005041.1
chr2	74414175	74421590	ENSG00000284308	-	C2orf81
chr2	74421677	74425754	ENSG00000005448	+	WDR54
chr2	74455086	74457943	ENSG00000115274	+	INO80B
chr2	74455087	74460883	ENSG00000274049	+	INO80B-WBP1
chr2	74461056	74465409	ENSG00000115275	-	MOGS
chr2	74471981	74472686	ENSG00000204822	-	MRPL53
chr2	74471985	74483407	ENSG00000135637	-	CCDC142
chr2	74526644	74529759	ENSG00000115307	-	AUP1
chr2	85544719	85561546	ENSG00000115486	-	GGCX
chr2	85561561	85582030	ENSG00000118640	+	VAMP8
chr2	86106222	86142156	ENSG00000132300	+	PTCD3
chr2	86440646	86492715	ENSG00000115548	+	KDM3A
chr2	86503429	86563478	ENSG00000115561	-	CHMP3
chr2	86505667	86721121	ENSG00000249884	-	RNF103-CHMP3
chr2	86603397	86623865	ENSG00000239305	-	RNF103
chr2	86784609	86808395	ENSG00000153563	-	CD8A
chr2	88556740	88627463	ENSG00000172071	-	EIF2AK3
chr2	95402707	95416615	ENSG00000115042	+	FAHD2A
chr2	96875881	96986579	ENSG00000168754	-	FAM178B
chr2	98997260	99154963	ENSG00000135951	-	TSGA10
chr2	99141484	99322740	ENSG00000241962	+	AC079447.1
chr2	99154954	99163156	ENSG00000144182	+	LIPT1
chr2	99161426	99181057	ENSG00000158411	-	MITD1
chr2	100562992	100576738	ENSG00000115539	+	PDCL3
chr2	101271218	101308700	ENSG00000163162	-	RNF149
chr2	105337531	105349210	ENSG00000135974	+	C2orf49
chr2	110732538	111120609	ENSG00000153093	+	ACOXL
chr2	111119377	111168444	ENSG00000153094	+	BCL2L11
chr2	111898606	112029560	ENSG00000153208	+	MERTK
chr2	112138384	112188217	ENSG00000144152	+	FBLN7
chr2	112211528	112255135	ENSG00000144161	-	ZC3H8
chr2	112368368	112434487	ENSG00000169629	-	RGPD8
chr2	112482155	112541738	ENSG00000114999	+	TTL
chr2	112541914	112579817	ENSG00000125630	+	POLR1B
chr2	112645938	112663824	ENSG00000144136	+	SLC20A1
chr2	113627228	113643395	ENSG00000144134	+	RABL2A
chr2	113706708	113756692	ENSG00000115084	-	SLC35F5
chr2	119223830	119265651	ENSG00000115107	+	STEAP3
chr2	119679166	119686506	ENSG00000144120	+	TMEM177
chr2	127843552	127858154	ENSG00000144231	-	POLR2D
chr2	127861629	127885966	ENSG00000144233	-	AMMECR1L
chr2	132147590	132257968	ENSG00000163046	-	ANKRD30BL
chr2	132671787	133568462	ENSG00000176771	-	NCKAP5
chr2	134455758	134718999	ENSG00000152128	-	TMEM163
chr2	134838615	134902033	ENSG00000153086	+	ACMSD
chr2	134918234	134959341	ENSG00000082258	+	CCNT2
chr2	135741733	135785055	ENSG00000144224	+	UBXN4
chr2	149038106	149215261	ENSG00000150556	+	LYPD6B
chr2	151357591	151380045	ENSG00000123610	+	TNFAIP6
chr2	151409882	151508012	ENSG00000080345	+	RIF1
chr2	151788983	151828491	ENSG00000162980	-	ARL5A
chr2	152335173	152649825	ENSG00000157827	+	FMNL2
chr2	152651592	152717996	ENSG00000196504	-	PRPF40A
chr2	152717892	152762395	ENSG00000177917	+	ARL6IP6
chr2	158171072	158456752	ENSG00000153237	-	CCDC148
chr2	159771850	159904709	ENSG00000248672	-	LY75-CD302
chr2	159803354	159904755	ENSG00000054219	-	LY75
chr2	159932005	160062614	ENSG00000153246	-	PLA2R1
chr2	161424331	161985281	ENSG00000144290	+	SLC4A10
chr2	161992244	162074393	ENSG00000197635	-	DPP4
chr2	165087525	165204049	ENSG00000153253	-	SCN3A
chr2	170990822	171231313	ENSG00000198586	-	TLK1
chr2	172427353	172506458	ENSG00000091409	+	ITGA6
chr2	173075434	173268014	ENSG00000091436	+	MAP3K20
chr2	173880849	173965701	ENSG00000172845	-	SP3
chr2	178525988	178830801	ENSG00000155657	-	TTN
chr2	183117512	183161679	ENSG00000163002	+	NUP35
chr2	187341963	187448459	ENSG00000064989	-	CALCRL
chr2	189441445	189475551	ENSG00000115368	+	WDR75
chr2	190189734	190344192	ENSG00000198130	-	HIBCH
chr2	190343569	190371664	ENSG00000151689	+	INPP1
chr2	190408354	190509204	ENSG00000151690	+	MFSD6
chr2	190646745	190692765	ENSG00000138386	+	NAB1
chr2	190880820	190965551	ENSG00000115419	+	GLS
chr2	190908459	191020959	ENSG00000115415	-	STAT1
chr2	191029575	191151595	ENSG00000138378	-	STAT4
chr2	195737702	196068836	ENSG00000118997	-	DNAH7
chr2	197804592	198572580	ENSG00000115896	+	PLCL1
chr2	199760543	199851191	ENSG00000226124	-	FTCDNL1
chr2	200305880	200482263	ENSG00000196141	+	SPATS2L
chr2	200870906	200889302	ENSG00000240344	-	PPIL3
chr2	200889326	200903937	ENSG00000196290	+	NIF3L1
chr2	200908976	200963679	ENSG00000115942	-	ORC2
chr2	201071432	201085749	ENSG00000119013	+	NDUFB3
chr2	201116153	201176686	ENSG00000003402	+	CFLAR
chr2	201487420	201619177	ENSG00000155754	-	C2CD6
chr2	202073254	202205187	ENSG00000182329	+	KIAA2012
chr2	202265735	202303660	ENSG00000055044	+	NOP58
chr2	203014878	203226377	ENSG00000144426	+	NBEAL1
chr2	203238976	203306025	ENSG00000119004	+	CYP20A1
chr2	203328279	203447727	ENSG00000138443	+	ABI2
chr2	203394344	203535334	ENSG00000173166	-	RAPH1
chr2	207529736	207605987	ENSG00000118260	+	CREB1
chr2	209424057	209734117	ENSG00000078018	+	MAP2
chr2	210002564	210022259	ENSG00000197713	+	RPE
chr2	210431248	210477651	ENSG00000115365	-	LANCL1
chr2	215311955	215349772	ENSG00000138363	+	ATIC
chr2	215360439	215436072	ENSG00000115414	-	FN1
chr2	218450250	218568350	ENSG00000135913	-	USP37
chr2	218568579	218597079	ENSG00000144580	+	CNOT9
chr2	218607898	218637180	ENSG00000115556	+	PLCD4
chr2	218658763	218663442	ENSG00000074582	+	BCS1L
chr2	218710834	218755415	ENSG00000135912	+	TTLL4
chr2	218782146	218815292	ENSG00000135929	+	CYP27A1
chr2	219496124	219498286	ENSG00000286095	+	SPEGNB
chr2	219550727	219571858	ENSG00000124006	-	OBSL1
chr2	224470149	224585396	ENSG00000036257	-	CUL3
chr2	224765089	225042467	ENSG00000135905	-	DOCK10
chr2	229357628	229714554	ENSG00000187957	-	DNER
chr2	230165185	230225728	ENSG00000135899	-	SP110
chr2	230203109	230313214	ENSG00000079263	+	SP140
chr2	231523186	231530444	ENSG00000171596	-	NMUR1
chr2	232550682	232583643	ENSG00000135930	+	EIF4E2
chr2	232697298	232860604	ENSG00000204120	+	GIGYF2
chr2	233354493	233472103	ENSG00000077044	+	DGKD
chr2	233475519	233566781	ENSG00000085982	-	USP40
chr2	239892449	240025396	ENSG00000130414	-	NDUFA10
chr2	240586733	240617704	ENSG00000142330	+	CAPN10
chr2	240998617	241095567	ENSG00000162804	+	SNED1
chr2	241188508	241225375	ENSG00000146205	+	ANO7
chr2	241227263	241317060	ENSG00000115677	-	HDLBP
chr3	8750380	8769627	ENSG00000180914	-	OXTR
chr3	8775401	8963772	ENSG00000070950	-	RAD18
chr3	9917073	9933620	ENSG00000163702	+	IL17RC
chr3	9945541	9952407	ENSG00000163704	-	PRRT3
chr3	12004387	12192031	ENSG00000157152	+	SYN2
chr3	12557056	12586207	ENSG00000075975	+	MKRN2
chr3	12796471	12871915	ENSG00000144712	+	CAND2
chr3	14112076	14124869	ENSG00000163528	-	CHCHD4
chr3	15427597	15450634	ENSG00000144597	+	EAF1
chr3	16265159	16350298	ENSG00000154814	+	OXNAD1
chr3	16802650	17090603	ENSG00000154822	+	PLCL2
chr3	24117152	24495755	ENSG00000151090	-	THRB
chr3	25718943	25790038	ENSG00000151092	-	NGLY1
chr3	32105688	32168708	ENSG00000152642	+	GPD1L
chr3	35638944	35794495	ENSG00000172995	+	ARPP21
chr3	36826818	36945056	ENSG00000168016	-	TRANK1
chr3	37452114	37823506	ENSG00000144668	+	ITGA9
chr3	40524877	40574684	ENSG00000172888	+	ZNF621
chr3	41246598	41962129	ENSG00000168038	-	ULK4
chr3	44241885	44332097	ENSG00000173769	+	TOPAZ1
chr3	44761720	44873375	ENSG00000163808	+	KIF15
chr3	46921725	46982009	ENSG00000160799	-	CCDC12
chr3	46979665	47009703	ENSG00000160796	+	NBEAL2
chr3	47282916	47346815	ENSG00000114648	+	KLHL18
chr3	47413680	47477125	ENSG00000114650	-	SCAP
chr3	47562237	47580791	ENSG00000114646	-	CSPG5
chr3	48446709	48467644	ENSG00000164053	+	ATRIP
chr3	48564072	48595328	ENSG00000114270	-	COL7A1
chr3	48673843	48686363	ENSG00000213672	-	NCKIPSD
chr3	49007061	49015952	ENSG00000178252	+	WDR6
chr3	49268595	49277231	ENSG00000188315	-	C3orf62
chr3	49277143	49340711	ENSG00000114316	-	USP4
chr3	49357175	49358352	ENSG00000233276	-	GPX1
chr3	49554476	49671548	ENSG00000164061	+	BSN
chr3	49683946	49689500	ENSG00000173531	-	MST1
chr3	49689537	49721528	ENSG00000164068	+	RNF123
chr3	49716828	49719683	ENSG00000176020	-	AMIGO3
chr3	49716843	49723972	ENSG00000173540	-	GMPPB
chr3	49803260	49805029	ENSG00000185614	+	INKA1
chr3	49828600	49856573	ENSG00000183763	-	TRAIP
chr3	49907159	49930172	ENSG00000164077	-	MON1A
