#chr	start	end	molecular_id	gene_id	gene_name
chr10	116849498	116911787		ENSG00000188316	ENO4
chr10	116881476	117126585		ENSG00000187164	SHTN1
chr12	40692438	41072414		ENSG00000018236	CNTN1
chr14	75002920	75012365		ENSG00000119718	EIF2B2
chr14	75013768	75051531		ENSG00000119684	MLH3
chr14	75053236	75069482		ENSG00000119640	ACYP1
chr14	75064108	75119501		ENSG00000119703	ZC2HC1C
chr14	75079352	75127343		ENSG00000119638	NEK9
chr14	75131468	75176611		ENSG00000170348	TMED10
chr16	14922801	14952059		ENSG00000183426	NPIPA1
chr16	14974590	15139338		ENSG00000179889	PDXDC1
chr16	15363627	15381046		ENSG00000183793	NPIPA5
chr16	24610208	24827631		ENSG00000090905	TNRC6A
chr16	24845840	24911627		ENSG00000158865	SLC5A11
chr16	28456371	28471174		ENSG00000233232	NPIPB7
chr16	28553919	28591789		ENSG00000176476	SGF29
chr16	28591942	28597049		ENSG00000197165	SULT1A2
chr16	28605195	28623624		ENSG00000196502	SULT1A1
chr16	28688557	28735726		ENSG00000184110	EIF3C
chr16	28842410	28846347		ENSG00000178952	TUFM
chr16	28846599	28874211		ENSG00000178188	SH2B1
chr16	28878404	28904465		ENSG00000196296	ATP2A1
chr16	66720892	66751608		ENSG00000135720	DYNC1LI2
chr16	67227119	67229277		ENSG00000168701	TMEM208
chr17	67070443	67245988		ENSG00000198265	HELZ
chr18	79069284	79378286		ENSG00000166377	ATP9B
chr20	3208867	3223869		ENSG00000125877	ITPA
chr20	3227416	3239558		ENSG00000088836	SLC4A11
chr20	3249305	3407668		ENSG00000088854	C20orf194
chr20	31664451	31723988		ENSG00000171552	BCL2L1
chr20	63895125	63936030		ENSG00000101152	DNAJC5
