#chr	start	end	gene_id	source	gene_name	event_id
chr10	102503971	102633534	ENSG00000107882	QTL	SUFU	image_AD1
chr10	102644478	102658317	ENSG00000171206	QTL	TRIM8	image_AD1
chr10	102673730	102714396	ENSG00000138175	QTL	ARL3	image_AD1
chr12	121429095	121581022	ENSG00000089094	QTL	KDM2B	image_AD1
chr14	57999734	58298138	ENSG00000139971	QTL	ARMH4	image_AD1
chr14	58244842	58272011	ENSG00000100567	QTL	PSMA3	image_AD1
chr20	35302565	35412030	ENSG00000101019	QTL	UQCC1	image_AD1
chr20	35433346	35454745	ENSG00000125965	QTL	GDF5	image_AD1
chr19	3976055	3985462	ENSG00000167658	QTL	EEF2	image_AD1
chr19	4007735	4039385	ENSG00000105229	QTL	PIAS4	image_AD1
chr22	20707690	20859416	ENSG00000241973	QTL	PI4KA	image_AD1
chr22	20774112	20787719	ENSG00000099937	QTL	SERPIND1	image_AD1
chr22	20859006	20891213	ENSG00000099940	QTL	SNAP29	image_AD1
chr22	24417878	24442356	ENSG00000128271	QTL	ADORA2A	image_AD1
chr11	45380755	48440000	ENSG00000110492	TWAS	MDK	image_AD2
chr11	45800000	48440000	ENSG00000149179	TWAS	C11orf49	image_AD2
chr11	45800000	48440000	ENSG00000165912	TWAS	PACSIN3	image_AD2
chr11	57280000	61923443	ENSG00000110108	TWAS	TMEM109	image_AD2
chr12	115920000	118120000	ENSG00000088992	TWAS	TESC	image_AD2
chr12	116208142	118452170	ENSG00000089250	TWAS	NOS1	image_AD2
chr12	63560000	66160000	ENSG00000111490	TWAS	TBC1D30	image_AD2
chr12	64169582	66248355	ENSG00000174106	TWAS	LEMD3	image_AD2
chr12	63404391	66160000	ENSG00000184575	TWAS	XPOT	image_AD2
chr12	63560000	66160000	ENSG00000288591	TWAS	AC078815.1	image_AD2
chr12	64400000	67240000	ENSG00000228144	TWAS	AC078927.1	image_AD2
chr13	35168794	37297842	ENSG00000250709	TWAS	CCDC169-SOHLH2	image_AD2
chr16	28360000	34000000	ENSG00000102882	TWAS	MAPK3	image_AD2
chr17	79720000	83257441	ENSG00000176155	TWAS	CCDC57	image_AD2
chr1	165975581	168120000	ENSG00000143194	TWAS	MAEL	image_AD2
chr1	20520000	24484568	ENSG00000088280	TWAS	ASAP3	image_AD2
chr1	20520000	24424748	ENSG00000204219	TWAS	TCEA3	image_AD2
chr1	49437028	52080000	ENSG00000185104	TWAS	FAF1	image_AD2
chr20	34302566	37080000	ENSG00000101019	TWAS	UQCC1	image_AD2
chr20	34433347	37080000	ENSG00000125965	TWAS	GDF5	image_AD2
chr20	34226689	37080000	ENSG00000125966	TWAS	MMP24	image_AD2
chr20	34542037	37080000	ENSG00000125991	TWAS	ERGIC3	image_AD2
chr20	34455163	37080000	ENSG00000126001	TWAS	CEP250	image_AD2
chr2	201912213	203988263	ENSG00000138380	TWAS	CARF	image_AD2
chr2	216000000	222640000	ENSG00000072195	TWAS	SPEG	image_AD2
chr2	216000000	219640000	ENSG00000115556	TWAS	PLCD4	image_AD2
chr2	216000000	219659655	ENSG00000115568	TWAS	ZNF142	image_AD2
chr2	216000000	219755416	ENSG00000135912	TWAS	TTLL4	image_AD2
chr2	216000000	219640000	ENSG00000144580	TWAS	CNOT9	image_AD2
chr2	231479827	235760000	ENSG00000171551	TWAS	ECEL1	image_AD2
chr2	53456316	55680000	ENSG00000115306	TWAS	SPTBN1	image_AD2
chr3	98830141	101114513	ENSG00000168386	TWAS	FILIP1L	image_AD2
chr5	154640000	160440000	ENSG00000055163	TWAS	CYFIP2	image_AD2
chr5	65596360	71320000	ENSG00000069020	TWAS	MAST4	image_AD2
chr6	124986478	127680000	ENSG00000066651	TWAS	TRMT11	image_AD2
chr6	25033092	30480000	ENSG00000278463	TWAS	H2AC4	image_AD2
chr6	25440471	30480000	ENSG00000111801	TWAS	BTN3A3	image_AD2
chr6	25457903	30480000	ENSG00000112763	TWAS	BTN2A1	image_AD2
chr6	25634383	30480000	ENSG00000181315	TWAS	ZNF322	image_AD2
chr6	25960000	30480000	ENSG00000189298	TWAS	ZKSCAN3	image_AD2
chr6	25960000	30480000	ENSG00000198315	TWAS	ZKSCAN8	image_AD2
chr6	25960000	30480000	ENSG00000235109	TWAS	ZSCAN31	image_AD2
chr6	25960000	30480000	ENSG00000276302	TWAS	AL021997.2	image_AD2
chr6	25960000	30480000	ENSG00000187987	TWAS	ZSCAN23	image_AD2
chr6	25960000	30480000	ENSG00000197935	TWAS	ZNF311	image_AD2
chr6	29640000	33560000	ENSG00000137312	TWAS	FLOT1	image_AD2
chr6	29640000	33560000	ENSG00000137411	TWAS	VARS2	image_AD2
chr6	25960000	33560000	ENSG00000234127	TWAS	TRIM26	image_AD2
chr6	29640000	33560000	ENSG00000213676	TWAS	ATF6B	image_AD2
chr6	29640000	33560000	ENSG00000224389	TWAS	C4B	image_AD2
chr6	29640000	33560000	ENSG00000244731	TWAS	C4A	image_AD2
chr7	115210538	117258783	ENSG00000135269	TWAS	TES	image_AD2
chr9	88360787	90920000	ENSG00000187764	TWAS	SEMA4D	image_AD2
chr12	115910949	118120000	ENSG00000174989	TWAS	FBXW8	image_AD2
chr12	55640000	58095476	ENSG00000166886	TWAS	NAB2	image_AD2
chr12	64278642	66491430	ENSG00000174099	TWAS	MSRB3	image_AD2
chr16	28360000	34000000	ENSG00000102886	TWAS	GDPD3	image_AD2
chr17	41659283	46680000	ENSG00000037042	TWAS	TUBG2	image_AD2
chr17	41609640	46680000	ENSG00000131462	TWAS	TUBG1	image_AD2
chr17	41720000	46680000	ENSG00000176563	TWAS	CNTD1	image_AD2
chr17	41720000	46680000	ENSG00000012048	TWAS	BRCA1	image_AD2
chr17	42483864	46680000	ENSG00000067596	TWAS	DHX8	image_AD2
chr17	41720000	46680000	ENSG00000108828	TWAS	VAT1	image_AD2
chr17	42560000	46680000	ENSG00000108852	TWAS	MPP2	image_AD2
chr17	41720000	46680000	ENSG00000236383	TWAS	CCDC200	image_AD2
chr17	41720000	46680000	ENSG00000266967	TWAS	AARSD1	image_AD2
chr17	42560000	46680000	ENSG00000005961	TWAS	ITGA2B	image_AD2
chr17	42560000	46680000	ENSG00000108309	TWAS	RUNDC3A	image_AD2
chr17	42560000	46680000	ENSG00000108840	TWAS	HDAC5	image_AD2
chr17	42560000	46680000	ENSG00000141349	TWAS	G6PC3	image_AD2
chr17	42560000	46680000	ENSG00000161682	TWAS	FAM171A2	image_AD2
chr17	42560000	46680000	ENSG00000131094	TWAS	C1QL1	image_AD2
chr17	42560000	46680000	ENSG00000131095	TWAS	GFAP	image_AD2
chr17	42560000	46680000	ENSG00000136448	TWAS	NMT1	image_AD2
chr17	42560000	46680000	ENSG00000161714	TWAS	PLCD3	image_AD2
chr17	42560000	46680000	ENSG00000186834	TWAS	HEXIM1	image_AD2
chr17	42560000	47225389	ENSG00000120071	TWAS	KANSL1	image_AD2
chr17	42560000	50760000	ENSG00000185829	TWAS	ARL17A	image_AD2
chr17	42560000	50760000	ENSG00000228696	TWAS	ARL17B	image_AD2
chr1	0	6480000	ENSG00000197785	TWAS	ATAD3A	image_AD2
chr20	34771973	37080000	ENSG00000025293	TWAS	PHF20	image_AD2
chr20	34668052	37080000	ENSG00000244005	TWAS	NFS1	image_AD2
chr2	159960000	162360000	ENSG00000136560	TWAS	TANK	image_AD2
chr2	216000000	219832086	ENSG00000115592	TWAS	PRKAG3	image_AD2
chr2	216000000	219640000	ENSG00000135913	TWAS	USP37	image_AD2
chr4	101630770	103760992	ENSG00000109323	TWAS	MANBA	image_AD2
chr4	101794383	103868896	ENSG00000109332	TWAS	UBE2D3	image_AD2
chr5	147240000	154960000	ENSG00000145901	TWAS	TNIP1	image_AD2
chr6	10520000	13760000	ENSG00000205269	TWAS	TMEM170B	image_AD2
chr6	29640000	33560000	ENSG00000137331	TWAS	IER3	image_AD2
chr11	111074085	113880000	ENSG00000150776	TWAS	NKAPD1	image_AD2
chr6	25960000	30480000	ENSG00000187626	TWAS	ZKSCAN4	image_AD2
chr8	9764961	12600000	ENSG00000254093	TWAS	PINX1	image_AD2
chr1	236215100	236281957	ENSG00000086619	QTL	ERO1B	image_AD2
chr2	231961244	232344349	ENSG00000144535	QTL	DIS3L2	image_AD2
chr5	66596360	67169594	ENSG00000069020	QTL	MAST4	image_AD2
chr5	78002325	78294697	ENSG00000132842	QTL	AP3B1	image_AD2
chr5	83471673	83582302	ENSG00000038427	QTL	VCAN	image_AD2
chr5	140175155	140282051	ENSG00000120306	QTL	CYSTM1	image_AD2
chr5	151029944	151093576	ENSG00000145901	QTL	TNIP1	image_AD2
chr6	11537748	11583523	ENSG00000205269	QTL	TMEM170B	image_AD2
chr6	27133041	27135290	ENSG00000196787	QTL	H2AC11	image_AD2
chr6	27873147	27873533	ENSG00000275126	QTL	H4C13	image_AD2
chr6	75291858	75493799	ENSG00000118407	QTL	FILIP1	image_AD2
chr7	44999474	45076468	ENSG00000136280	QTL	CCM2	image_AD2
chr7	45100099	45112046	ENSG00000136270	QTL	TBRG4	image_AD2
chr11	46332904	46380553	ENSG00000149091	QTL	DGKZ	image_AD2
chr11	46380755	46383836	ENSG00000110492	QTL	MDK	image_AD2
chr11	46617526	46674817	ENSG00000175224	QTL	ATG13	image_AD2
chr11	46743047	46846307	ENSG00000175216	QTL	CKAP5	image_AD2
chr11	46856716	46918641	ENSG00000134569	QTL	LRP4	image_AD2
chr11	46936688	47164384	ENSG00000149179	QTL	C11orf49	image_AD2
chr11	47177521	47186442	ENSG00000165912	QTL	PACSIN3	image_AD2
chr11	47248299	47269032	ENSG00000025434	QTL	NR1H3	image_AD2
chr11	57667746	57701181	ENSG00000156599	QTL	ZDHHC5	image_AD2
chr11	57712581	57818430	ENSG00000288534	QTL	AP001931.2	image_AD2
chr11	57712592	57740972	ENSG00000213593	QTL	TMX2	image_AD2
chr11	57753242	57819545	ENSG00000198561	QTL	CTNND1	image_AD2
chr10	101570559	101609661	ENSG00000166171	QTL	DPCD	image_AD2
chr12	56222014	56229853	ENSG00000139579	QTL	NABP2	image_AD2
chr12	56237806	56258383	ENSG00000139645	QTL	ANKRD52	image_AD2
chr12	56266941	56270965	ENSG00000135469	QTL	COQ10A	image_AD2
chr12	56271698	56300390	ENSG00000062485	QTL	CS	image_AD2
chr12	56309841	56316118	ENSG00000257727	QTL	CNPY2	image_AD2
chr12	56316222	56334052	ENSG00000135473	QTL	PAN2	image_AD2
chr12	56334173	56340409	ENSG00000110944	QTL	IL23A	image_AD2
chr12	56341596	56360141	ENSG00000170581	QTL	STAT2	image_AD2
chr13	36168216	36214587	ENSG00000120669	QTL	SOHLH2	image_AD2
chr13	36168793	36297841	ENSG00000250709	QTL	CCDC169-SOHLH2	image_AD2
chr13	36222007	36297839	ENSG00000242715	QTL	CCDC169	image_AD2
chr13	36301637	36370179	ENSG00000133104	QTL	SPART	image_AD2
chr17	82101459	82212829	ENSG00000176155	QTL	CCDC57	image_AD2
chr20	35302565	35412030	ENSG00000101019	QTL	UQCC1	image_AD2
chr20	35433346	35454745	ENSG00000125965	QTL	GDF5	image_AD2
chr11	13643803	17560000	ENSG00000152270	TWAS	PDE3B	image_Aging1
chr12	101073103	103120120	ENSG00000075188	TWAS	NUP37	image_Aging1
chr12	100696946	102960000	ENSG00000111666	TWAS	CHPT1	image_Aging1
chr14	54559071	56701526	ENSG00000126777	TWAS	KTN1	image_Aging1
chr14	54840000	57301524	ENSG00000139946	TWAS	PELI2	image_Aging1
chr14	54271343	56640000	ENSG00000178974	TWAS	FBXO34	image_Aging1
chr14	53938949	56640000	ENSG00000198554	TWAS	WDHD1	image_Aging1
chr14	72644874	75680000	ENSG00000119661	TWAS	DNAL1	image_Aging1
chr14	90240000	92417844	ENSG00000015133	TWAS	CCDC88C	image_Aging1
chr16	10840000	16760000	ENSG00000179889	TWAS	PDXDC1	image_Aging1
chr16	23440000	25827632	ENSG00000090905	TWAS	TNRC6A	image_Aging1
chr16	23440000	25911628	ENSG00000158865	TWAS	SLC5A11	image_Aging1
chr16	25040000	29600000	ENSG00000103522	TWAS	IL21R	image_Aging1
chr16	25040000	34000000	ENSG00000176476	TWAS	SGF29	image_Aging1
chr16	25040000	34000000	ENSG00000178952	TWAS	TUFM	image_Aging1
chr16	25040000	34000000	ENSG00000184110	TWAS	EIF3C	image_Aging1
chr16	25040000	34000000	ENSG00000188603	TWAS	CLN3	image_Aging1
chr16	25040000	34000000	ENSG00000196502	TWAS	SULT1A1	image_Aging1
chr16	25040000	34000000	ENSG00000197165	TWAS	SULT1A2	image_Aging1
chr16	25040000	34000000	ENSG00000213658	TWAS	LAT	image_Aging1
chr16	25040000	34000000	ENSG00000233232	TWAS	NPIPB7	image_Aging1
chr16	28360000	34000000	ENSG00000140688	TWAS	RUSF1	image_Aging1
chr16	66880000	75440000	ENSG00000103051	TWAS	COG4	image_Aging1
chr16	66880000	71160000	ENSG00000141101	TWAS	NOB1	image_Aging1
chr16	66880000	75440000	ENSG00000189091	TWAS	SF3B3	image_Aging1
chr16	66880000	71160000	ENSG00000198373	TWAS	WWP2	image_Aging1
chr17	0	5160000	ENSG00000167720	TWAS	SRR	image_Aging1
chr17	66200000	68744531	ENSG00000130935	TWAS	NOL11	image_Aging1
chr17	66200000	69280000	ENSG00000182481	TWAS	KPNA2	image_Aging1
chr1	0	6480000	ENSG00000067606	TWAS	PRKCZ	image_Aging1
chr1	212880000	215041510	ENSG00000117707	TWAS	PROX1	image_Aging1
chr1	46360000	51023954	ENSG00000186094	TWAS	AGBL4	image_Aging1
chr20	23600000	28720000	ENSG00000100994	TWAS	PYGB	image_Aging1
chr20	23600000	28720000	ENSG00000100997	TWAS	ABHD12	image_Aging1
chr20	23600000	28720000	ENSG00000101004	TWAS	NINL	image_Aging1
chr20	26400000	34320000	ENSG00000171552	TWAS	BCL2L1	image_Aging1
chr20	0	5240000	ENSG00000088854	TWAS	C20orf194	image_Aging1
chr20	0	5240000	ENSG00000125877	TWAS	ITPA	image_Aging1
chr2	30120000	33640000	ENSG00000091106	TWAS	NLRC4	image_Aging1
chr3	146040000	149480000	ENSG00000174963	TWAS	ZIC4	image_Aging1
chr3	32720000	36960000	ENSG00000170248	TWAS	PDCD6IP	image_Aging1
chr4	81818509	83901166	ENSG00000138674	TWAS	SEC31A	image_Aging1
chr5	0	4840000	ENSG00000180104	TWAS	EXOC3	image_Aging1
chr6	25277609	30480000	ENSG00000158406	TWAS	H4C8	image_Aging1
chr6	25960000	33560000	ENSG00000204632	TWAS	HLA-G	image_Aging1
chr6	29640000	33560000	ENSG00000204444	TWAS	APOM	image_Aging1
chr6	29640000	33560000	ENSG00000231852	TWAS	CYP21A2	image_Aging1
chr6	29640000	33560000	ENSG00000285085	TWAS	AL662884.4	image_Aging1
chr7	98840000	104960000	ENSG00000285437	TWAS	POLR2J3	image_Aging1
chr7	98840000	102680000	ENSG00000066923	TWAS	STAG3	image_Aging1
chr7	98840000	102680000	ENSG00000078487	TWAS	ZCWPW1	image_Aging1
chr7	98840000	102680000	ENSG00000121716	TWAS	PILRB	image_Aging1
chr7	98840000	102680000	ENSG00000146834	TWAS	MEPCE	image_Aging1
chr7	98840000	102680000	ENSG00000185955	TWAS	C7orf61	image_Aging1
chr8	39000000	45920000	ENSG00000168575	TWAS	SLC20A2	image_Aging1
chr8	39000000	45920000	ENSG00000176209	TWAS	SMIM19	image_Aging1
chr11	116427772	119320000	ENSG00000177103	TWAS	DSCAML1	image_Aging1
chr12	101012840	103062149	ENSG00000120860	TWAS	WASHC3	image_Aging1
chr12	101120182	103197520	ENSG00000185480	TWAS	PARPBP	image_Aging1
chr14	54051646	56640000	ENSG00000168175	TWAS	MAPK1IP1L	image_Aging1
chr14	90240000	92510554	ENSG00000100796	TWAS	PPP4R3A	image_Aging1
chr16	25040000	34000000	ENSG00000176046	TWAS	NUPR1	image_Aging1
chr16	28360000	34000000	ENSG00000149929	TWAS	HIRIP3	image_Aging1
chr16	28360000	34000000	ENSG00000169957	TWAS	ZNF768	image_Aging1
chr16	28360000	34000000	ENSG00000174938	TWAS	SEZ6L2	image_Aging1
chr16	28360000	34000000	ENSG00000261052	TWAS	SULT1A3	image_Aging1
chr16	28360000	34000000	ENSG00000099381	TWAS	SETD1A	image_Aging1
chr16	28360000	34000000	ENSG00000178226	TWAS	PRSS36	image_Aging1
chr16	66170153	71160000	ENSG00000140939	TWAS	NOL3	image_Aging1
chr16	66227119	71160000	ENSG00000168701	TWAS	TMEM208	image_Aging1
chr16	66880000	71160000	ENSG00000103061	TWAS	SLC7A6OS	image_Aging1
chr16	66880000	71160000	ENSG00000188038	TWAS	NRN1L	image_Aging1
chr16	66880000	71160000	ENSG00000102908	TWAS	NFAT5	image_Aging1
chr16	66880000	75440000	ENSG00000103043	TWAS	VAC14	image_Aging1
chr16	70080000	77640000	ENSG00000186187	TWAS	ZNRF1	image_Aging1
chr17	18280000	26600000	ENSG00000108599	TWAS	AKAP10	image_Aging1
chr17	66070444	68245989	ENSG00000198265	TWAS	HELZ	image_Aging1
chr19	35640000	43520000	ENSG00000105204	TWAS	DYRK1B	image_Aging1
chr1	0	6480000	ENSG00000169962	TWAS	TAS1R3	image_Aging1
chr20	26400000	34320000	ENSG00000101294	TWAS	HM13	image_Aging1
chr20	26400000	34320000	ENSG00000131055	TWAS	COX4I2	image_Aging1
chr2	202240000	204447728	ENSG00000138443	TWAS	ABI2	image_Aging1
chr3	73800000	78680000	ENSG00000227124	TWAS	ZNF717	image_Aging1
chr4	54280000	60680000	ENSG00000047315	TWAS	POLR2B	image_Aging1
chr4	54280000	60680000	ENSG00000084093	TWAS	REST	image_Aging1
chr6	29640000	33560000	ENSG00000234745	TWAS	HLA-B	image_Aging1
chr6	29640000	33560000	ENSG00000204469	TWAS	PRRC2A	image_Aging1
chr7	102312289	104960000	ENSG00000105821	TWAS	DNAJC2	image_Aging1
chr7	98840000	102680000	ENSG00000166924	TWAS	NYAP1	image_Aging1
chr8	117120000	119951885	ENSG00000164761	TWAS	TNFRSF11B	image_Aging1
chr3	146040000	149480000	ENSG00000152977	TWAS	ZIC1	image_Aging1
chr4	37560000	40640000	ENSG00000109787	TWAS	KLF3	image_Aging1
chr1	117001749	117036475	ENSG00000134256	QTL	CD101	image_Aging1
chr3	147386045	147406808	ENSG00000174963	QTL	ZIC4	image_Aging1
chr3	147393421	147510292	ENSG00000152977	QTL	ZIC1	image_Aging1
chr4	57030772	57110384	ENSG00000163453	QTL	IGFBP7	image_Aging1
chr4	82430589	82461176	ENSG00000145293	QTL	ENOPH1	image_Aging1
chr4	82818508	82901165	ENSG00000138674	QTL	SEC31A	image_Aging1
chr4	82909972	83012925	ENSG00000189308	QTL	LIN54	image_Aging1
chr5	321758	438290	ENSG00000063438	QTL	AHRR	image_Aging1
chr5	443174	471936	ENSG00000180104	QTL	EXOC3	image_Aging1
chr5	470455	524448	ENSG00000066230	QTL	SLC9A3	image_Aging1
chr6	29941259	29945883	ENSG00000206503	QTL	HLA-A	image_Aging1
chr6	30326478	30343728	ENSG00000204599	QTL	TRIM39	image_Aging1
chr6	56056589	56394093	ENSG00000124749	QTL	COL21A1	image_Aging1
chr6	126340114	126348874	ENSG00000203760	QTL	CENPW	image_Aging1
chr6	158232235	158511827	ENSG00000130338	QTL	TULP4	image_Aging1
chr6	158536435	158635427	ENSG00000146433	QTL	TMEM181	image_Aging1
chr6	159669068	159762528	ENSG00000112096	QTL	SOD2	image_Aging1
chr6	159725584	159756318	ENSG00000146457	QTL	WTAP	image_Aging1
chr6	159762044	159779111	ENSG00000120437	QTL	ACAT2	image_Aging1
chr6	159778497	159789702	ENSG00000120438	QTL	TCP1	image_Aging1
chr6	159789811	159798435	ENSG00000112110	QTL	MRPL18	image_Aging1
chr6	159800248	159820703	ENSG00000146453	QTL	PNLDC1	image_Aging1
chr7	2679521	2775499	ENSG00000174945	QTL	AMZ1	image_Aging1
chr7	2728104	2844307	ENSG00000146535	QTL	GNA12	image_Aging1
chr7	100177562	100221487	ENSG00000066923	QTL	STAG3	image_Aging1
chr7	100352175	100367732	ENSG00000121716	QTL	PILRB	image_Aging1
chr7	100367529	100400095	ENSG00000085514	QTL	PILRA	image_Aging1
chr7	100400852	100428791	ENSG00000078487	QTL	ZCWPW1	image_Aging1
chr7	100428816	100434117	ENSG00000146834	QTL	MEPCE	image_Aging1
chr7	100456619	100464259	ENSG00000185955	QTL	C7orf61	image_Aging1
chr7	100463358	100479231	ENSG00000166925	QTL	TSC22D4	image_Aging1
chr8	22089149	22104910	ENSG00000158863	QTL	FAM160B2	image_Aging1
chr8	48710788	48735310	ENSG00000034239	QTL	EFCAB1	image_Aging1
chr8	118923556	118951884	ENSG00000164761	QTL	TNFRSF11B	image_Aging1
chr11	18231354	18236801	ENSG00000148965	QTL	SAA4	image_Aging1
chr11	18239222	18248667	ENSG00000134339	QTL	SAA2	image_Aging1
chr11	18278667	18322197	ENSG00000110756	QTL	HPS5	image_Aging1
