#chr	start	end	gene_id	strand	gene_name	event_ID
chr17	45435899	45490748	ENSG00000225190	-	PLEKHM1	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45620343	45835825	ENSG00000263715	+	LINC02210-CRHR1	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45784279	45835827	ENSG00000120088	+	CRHR1	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45844880	45847066	ENSG00000185294	+	SPPL2C	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45894526	46028333	ENSG00000186868	+	MAPT	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45999249	45999693	ENSG00000256762	+	STH	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46029915	46225388	ENSG00000120071	-	KANSL1	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46274783	46361796	ENSG00000228696	-	ARL17B	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46292732	46337793	ENSG00000176681	+	LRRC37A	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46511510	46555649	ENSG00000238083	+	LRRC37A2	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46516701	46579690	ENSG00000185829	-	ARL17A	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46590668	46757463	ENSG00000073969	+	NSF	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46923132	47049931	ENSG00000262633	+	AC005670.2	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr22	38483437	38507659	ENSG00000100201	-	DDX17	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38578119	38656628	ENSG00000184949	-	FAM227A	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38656639	38673853	ENSG00000100211	+	CBY1	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38681956	38685420	ENSG00000100216	+	TOMM22	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38685542	38701555	ENSG00000100221	-	JOSD1	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38734724	38794142	ENSG00000100242	-	SUN2	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
