#chr	start	end	gene_id	strand	gene_name	event_ID
chr6	149817936	149896010	ENSG00000285991	-	AL355312.5	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149818756	149864358	ENSG00000120256	-	LRP11	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149963942	149973714	ENSG00000111981	+	ULBP1	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr7	2679521	2775499	ENSG00000174945	+	AMZ1	image_AD1; image_Aging1; image_Aging4; image_Aging5
chr7	2728104	2844307	ENSG00000146535	-	GNA12	image_AD1; image_Aging1; image_Aging4; image_Aging5
chr7	55019016	55211627	ENSG00000146648	+	EGFR	image_AD1; AD_Bellenguez
chr11	61752635	61788517	ENSG00000124920	+	MYRF	image_Aging5; mvage
chr11	61768500	61792801	ENSG00000134825	-	TMEM258	image_Aging5; mvage
chr11	61792979	61867353	ENSG00000134824	+	FADS2	image_Aging5; mvage
chr11	61799626	61829317	ENSG00000149485	-	FADS1	image_Aging5; mvage
chr11	63838927	63911019	ENSG00000072518	+	MARK2	image_Aging5; mvage
chr11	117427771	117817524	ENSG00000177103	-	DSCAML1	image_Aging1
chr10	103594026	103855542	ENSG00000107957	-	SH3PXD2A	image_AD1; image_Aging4; mvage
chr10	116849498	116911787	ENSG00000188316	+	ENO4	image_Aging1; image_Aging3
chr10	116881476	117126585	ENSG00000187164	-	SHTN1	image_Aging1; image_Aging3
chr12	121429095	121581022	ENSG00000089094	-	KDM2B	image_AD1; image_Aging3
chr13	109752694	109786582	ENSG00000185950	-	IRS2	image_AD1; image_Aging3
chr14	57999734	58298138	ENSG00000139971	-	ARMH4	image_AD1; image_Aging3
chr14	58244842	58272011	ENSG00000100567	+	PSMA3	image_AD1; image_Aging3
chr16	28605195	28623624	ENSG00000196502	-	SULT1A1	image_Aging1; Telomere_pc1
chr16	28842410	28846347	ENSG00000178952	-	TUFM	image_Aging1; Telomere_pc1
chr16	28846599	28874211	ENSG00000178188	+	SH2B1	image_Aging1; Telomere_pc1
chr16	28878404	28904465	ENSG00000196296	+	ATP2A1	image_Aging1; Telomere_pc1
chr16	29454500	29458218	ENSG00000181625	+	SLX1B	image_AD2; image_Aging2
chr16	30222936	30254509	ENSG00000198064	-	NPIPB13	image_AD2; image_Aging2
chr17	42950525	42980527	ENSG00000108825	-	PTGES3L-AARSD1	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45393901	45434420	ENSG00000159314	-	ARHGAP27	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45435899	45490748	ENSG00000225190	-	PLEKHM1	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45620343	45835825	ENSG00000263715	+	LINC02210-CRHR1	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45784279	45835827	ENSG00000120088	+	CRHR1	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45844880	45847066	ENSG00000185294	+	SPPL2C	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45894526	46028333	ENSG00000186868	+	MAPT	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45999249	45999693	ENSG00000256762	+	STH	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46029915	46225388	ENSG00000120071	-	KANSL1	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46274783	46361796	ENSG00000228696	-	ARL17B	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46292732	46337793	ENSG00000176681	+	LRRC37A	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46511510	46555649	ENSG00000238083	+	LRRC37A2	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46516701	46579690	ENSG00000185829	-	ARL17A	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46590668	46757463	ENSG00000073969	+	NSF	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	46923132	47049931	ENSG00000262633	+	AC005670.2	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	67825502	67984377	ENSG00000171634	+	BPTF	image_Aging1; mvage
chr20	31664451	31723988	ENSG00000171552	-	BCL2L1	image_Aging1; image_Aging2
chr20	35302565	35412030	ENSG00000101019	-	UQCC1	image_AD1; image_AD2
chr20	35433346	35454745	ENSG00000125965	-	GDF5	image_AD1; image_AD2
chr22	38483437	38507659	ENSG00000100201	-	DDX17	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38578119	38656628	ENSG00000184949	-	FAM227A	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38656639	38673853	ENSG00000100211	+	CBY1	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38681956	38685420	ENSG00000100216	+	TOMM22	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38685542	38701555	ENSG00000100221	-	JOSD1	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38734724	38794142	ENSG00000100242	-	SUN2	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	45308967	45341954	ENSG00000100376	+	FAM118A	image_Aging5; Telomere_pc1
